""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"," Hour 029"
"AKT3",4.700332695,4.459647471,4.527128654,4.468942546,4.510090308,4.444531544,4.706869244,4.60753625,4.416248924,4.536985183,4.449494977,4.64006832,4.226725785,4.315255998,4.351944902,4.512588428
"MED6",7.942225013,8.384778802,8.030825116,8.308899518,8.412948641,8.198286101,8.081594346,7.905789271,8.328439922,8.235436257,8.042996157,8.154233304,8.452369141,8.209906037,8.28680093,8.227636389
"NR2E3",4.663002132,4.418929698,4.482342682,4.375694317,4.350633326,4.477428982,4.502574232,4.541745201,4.386038151,4.549820902,4.507553697,4.419146288,4.460538015,4.440020038,4.336992586,4.534883163
"NAALAD2",3.45992168,3.599521529,3.72772947,4.044436697,3.903674755,3.710271337,3.627915282,3.713809693,3.654329534,3.491614469,3.650201326,3.80169291,3.820404255,3.592220357,3.537247099,3.757045083
"NAALADL1",6.29895613,6.572122292,6.342479624,6.6113148,6.872796998,6.411712634,6.504612002,6.111493598,6.46546002,6.555454607,6.247039943,6.33223307,6.768004878,6.659651617,6.62415352,6.34770596
"ACOT8",8.431653514,8.471544974,8.631587119,8.581058743,8.963735457,8.506848924,8.527705633,8.40607814,8.695653634,8.691875352,8.506899251,8.604517377,8.66600166,8.635901967,8.712058912,8.566042315
"ABI1",9.241438904,9.80637675,9.320691888,9.611262537,9.532806001,9.600953466,9.546457117,9.759496481,9.565369107,9.216876871,9.722202765,9.358326039,9.705354782,9.651123609,9.584154832,9.464591115
"GNPDA1",8.397171277,8.499822198,8.577059647,8.68213069,8.831588916,8.516387206,8.666124619,8.656230462,8.756654268,8.525249945,8.582587943,8.583695309,8.595344464,8.613114713,8.576999521,8.612458016
"ZBTB33",3.685663196,3.758298699,3.672863883,3.534134706,3.725840969,3.467763456,3.508277252,3.5488979,3.596148912,3.62648869,3.523581205,3.729137847,3.762689847,3.458246784,3.740483082,4.033466151
"CDH2",4.75156322,4.630295213,4.74696107,4.651694333,4.775294659,4.839500199,4.771433154,4.813190359,4.616351698,4.668085902,4.881045591,4.657018712,4.573845489,4.693406501,4.601448682,4.660871831
"TANK",8.545482834,9.031124645,8.686814868,8.753226673,8.840364751,8.892313237,8.819178402,8.82318327,8.762577508,8.509330297,9.122605959,8.649502552,8.867048275,8.960240134,8.859138176,9.070031047
"HDAC6",7.935446119,7.593046523,7.734317851,7.792691124,7.611298012,7.762515977,7.744853031,7.742047765,7.686103448,7.82687416,7.814965666,7.992854366,7.556165617,7.639785388,7.602708964,7.694461314
"HDAC5",8.76331712,8.499759459,8.827639219,8.838893619,8.695999405,8.620282844,8.813618195,8.838607834,8.583761378,8.681929247,8.732608705,8.778443739,8.564226297,8.685907352,8.624868275,8.714505579
"PDCD6IP",10.7114995,10.6942808,10.7194602,10.93690807,10.73336253,10.80779092,10.78217225,10.82214986,10.82365185,10.50478265,10.88993659,10.85217957,10.68858795,10.77179869,10.71274858,10.79076327
"PDCD6",9.451769709,9.726208799,9.453712142,9.717819129,10.06837077,9.58868275,9.639124686,9.39474644,9.742715057,9.608063833,9.330119543,9.52360739,9.839789798,9.749062212,9.74249152,9.676753539
"BCL2L10",4.925335708,4.831274995,4.9054519,4.888483332,4.609835855,4.969506447,4.75535699,4.91986438,4.68877873,4.880304383,4.978599731,5.128171339,4.734340939,4.938570107,4.706823579,5.046967302
"BCL2L11",4.790766058,4.750438583,4.83701369,4.79491064,4.769016516,4.829929401,4.958635368,4.608851033,4.864864025,4.83368719,4.970704662,4.964871826,4.660362814,4.820007657,4.670731078,5.016916481
"SH2B3",10.58792638,10.76890996,10.74309503,11.05961127,10.59855134,10.87121689,10.69066378,11.00549461,10.74701273,10.38742608,10.69453195,10.75570309,10.59690301,10.64081395,10.55257464,10.71140488
"CDH3",5.834222263,5.369147933,5.786579447,5.407456059,5.455714534,5.175753219,5.421161437,5.287174928,5.118555624,5.418176493,5.401618689,5.634388654,5.526557094,5.172868323,5.438041705,5.370186221
"GNE",7.411584943,7.492931489,7.597627893,7.811498066,7.582924831,7.623514877,7.562953026,7.499730093,7.653219772,7.480884404,7.558070416,7.414608342,7.475338214,7.48179164,7.546862841,7.331315539
"HCN4",4.761389832,4.602731844,4.707770602,4.538665156,4.45475627,4.560574965,4.654372189,4.592970568,4.402130637,4.495470148,4.614906653,4.803339334,4.506184858,4.679966612,4.658389481,4.641809833
"INSL5",4.353587517,4.097884078,4.508821988,4.401186276,4.34479094,4.199585742,4.209296713,4.334361718,4.186641467,4.400295301,4.414432348,4.523814585,4.126217984,4.39154902,4.435186143,4.288021977
"FRAT1",10.85101971,10.94598115,10.86435392,10.87403947,10.77181324,10.69734589,11.02810362,11.07587388,10.77311925,10.75673706,10.98074144,11.00704608,10.76036167,10.9583263,10.75128602,11.05910202
"TROAP",5.449335269,5.293486784,5.198145572,5.203505004,5.584397725,5.19419869,5.437305349,5.261849263,5.199859536,5.386737661,5.460974374,5.329439034,5.358671358,5.275170033,5.229677261,5.165582527
"MED16",8.520892108,8.212824826,8.413131915,8.428610531,8.334150182,8.349309888,8.463740783,8.428558285,8.32888763,8.47288649,8.344103247,8.545744298,8.286022881,8.3365829,8.240073707,8.266943187
"PIGK",5.071720661,6.267870574,5.392750786,5.746813108,6.824504287,5.552312944,5.448507748,5.420465791,6.377194103,5.587987836,5.527347721,5.400736256,6.969839568,6.028893318,6.427857258,5.582744709
"CDH4",4.432189135,4.320140527,4.331855118,4.32986901,4.363006429,4.390030299,4.482025854,4.488950212,4.233865693,4.305166075,4.489326506,4.473769634,4.269769306,4.410000823,4.288862479,4.244122256
"CHAF1A",6.342186304,6.353266434,6.460439756,6.536065936,6.271099524,6.343780351,6.392264567,6.46204133,6.346069608,6.387740318,6.478476208,6.411920185,6.315882141,6.381109393,6.291253439,6.506337653
"PARP2",6.708582154,6.798143412,6.658923221,6.940115759,7.139291919,6.750794911,6.74896377,6.807608758,7.00288601,6.84808192,6.76871895,6.861019983,6.984828391,6.868408953,6.865518509,6.589392518
"PARP3",6.703099501,6.644137161,6.628271401,6.656865446,6.89247748,6.661780039,6.790757858,6.585266711,6.939041397,6.693529547,6.718028224,6.662570334,6.75921819,6.565664149,6.52161954,6.475626264
"CDH5",4.414592928,4.591130898,4.494552416,4.612339123,4.381285893,4.381069358,4.449591482,4.399479888,4.348513221,4.408328772,4.411575164,4.692790556,4.066285328,4.512092403,4.400268067,4.361007733
"TOM1L1",3.937082376,3.872191762,3.655840283,3.698028857,3.73701311,3.631945833,3.557029818,3.720402137,3.669014309,3.550843522,3.875612306,3.915124881,3.567790115,3.645217739,3.65915831,3.814405411
"HMGXB4",8.113436919,8.41094911,8.259128435,8.352362855,8.567117213,8.252801938,8.184440508,8.339046188,8.481469599,8.309401241,8.348018928,8.259651263,8.504337973,8.338523878,8.435150878,8.302662359
"TOM1",8.191321835,7.989304504,8.23574359,8.22652221,8.017889195,8.093086172,8.108568303,8.260199938,8.105788035,8.00965085,8.265811771,8.108733514,7.78381947,8.12255531,7.891466407,8.279109063
"SH2D3A",6.168910203,6.059319393,5.995295285,6.27782657,6.740065964,6.123898836,6.284960434,6.221008884,6.172757349,6.444532716,6.005607969,6.112027972,6.497867148,6.16839391,6.537823501,6.024863362
"MAMLD1",5.040632718,4.565669433,5.007532835,4.872794992,5.041997271,5.053364562,5.146068078,5.129007052,5.047120434,5.140059904,4.988058076,5.218335632,4.9236655,4.776054883,5.177877458,4.837368097
"RANBP9",7.800576316,8.142166628,8.009601941,8.232525396,8.067880137,8.155861741,7.988880117,8.019467172,8.131949399,7.868380942,8.17780644,8.001169734,8.14886411,8.076037951,8.081365867,8.045009902
"DNAJB6",8.63967678,8.83345106,8.790323157,8.977231778,8.816021278,8.951258635,8.702659526,9.05002472,8.901881398,8.586301955,9.008645079,8.813984047,8.716199702,8.849595469,8.68883432,8.986486818
"CDH6",3.887088086,3.790839595,3.71947363,3.759523703,3.723012545,3.791020434,3.732184179,3.866563321,3.783098076,3.895937374,3.815037452,3.798002445,3.808561481,3.872116162,3.685557635,3.753620321
"SLC17A4",4.882789027,4.706476158,4.856763325,4.834861334,4.900422277,4.924980387,4.725119612,5.01376543,4.719822357,4.74496265,4.86469312,4.860084898,4.705402195,4.871116519,4.750095009,4.64418212
"SMC4",6.673401841,7.38885299,6.96804897,7.235133959,7.199634426,7.212112438,6.755891259,6.887636634,7.256967533,6.904514699,7.127784012,6.614558657,7.620214171,7.282587895,7.271029867,7.140194496
"GJC1",4.709121503,4.596089438,4.646885254,4.358898701,4.548148497,4.779392152,4.578821241,4.543237076,4.371751855,4.635506233,4.594862604,4.738481027,4.403550093,4.483447017,4.493577956,4.373938784
"AP1M2",6.675632774,6.519535975,6.471373533,6.545259439,6.391366782,6.551125782,6.533468864,6.59083035,6.430884577,6.728935948,6.671037599,6.775669312,6.268512771,6.448657161,6.477928664,6.637601365
"UBA2",9.389622302,10.01252787,9.485403398,9.776476166,10.25218608,9.698651851,9.585883822,9.837324662,9.940171727,9.759371317,9.620961372,9.428629586,10.19299908,9.894990425,10.12713703,9.569427179
"SAE1",9.613824474,9.5290235,9.599299662,9.631650327,9.85851899,9.547366311,9.639567716,9.547089915,9.764685216,9.732739995,9.582298832,9.485701198,9.814411834,9.562138342,9.811536288,9.498022195
"ABCC5",9.075101043,8.820815709,8.957339481,8.788937979,8.872716757,8.748922874,8.779170047,8.746343483,8.768765508,8.684188311,9.132919437,8.856247308,8.697234415,8.924203094,8.786684313,8.939425423
"ABCB6",5.991121189,5.98174847,5.918921675,5.761402495,6.201859904,6.033824653,6.365399112,6.172699676,6.324312905,6.042854506,6.162326037,6.347384129,5.892992241,6.097937396,6.216336471,5.899106577
"DNM1L",6.156313561,6.931329474,6.666705487,6.800296285,6.787739394,6.691943016,6.472920186,6.749826085,6.809678136,6.595662673,6.707413745,6.64108209,6.843492165,6.686128191,6.770177263,6.941938066
"CDH7",4.920123734,4.688660268,4.966663956,4.701250157,4.66097333,4.632998575,4.664710335,4.535448594,4.661627611,4.857367701,4.747032082,4.707726615,4.77883974,4.794220964,4.674308024,4.680591088
"ABCC9",3.978036435,3.762967434,3.949006984,3.955494552,3.850716246,3.743944589,3.785725509,3.761768033,3.822532749,3.917910929,3.958052654,3.804103191,3.789164511,3.813681755,3.862981059,3.99279362
"ABCF2",7.388972595,7.267161319,7.184644972,7.553736591,7.365255524,7.359701075,7.31349487,7.221329126,7.358386296,7.352779571,7.223635615,7.325912072,7.350649514,7.27974258,7.443980201,7.313733346
"NR1H3",5.311969871,5.301341651,5.539742514,5.731957374,5.823467945,5.332454034,5.564784205,5.685817231,5.692626618,5.405326118,5.47313729,5.485233489,5.424097715,5.576889057,5.409135215,5.428858899
"SCAMP2",10.03730098,9.68947806,10.01402409,9.866387926,9.807672399,9.893605224,9.861266539,9.706744423,9.718350029,9.881238549,9.905121943,9.962870763,9.589514551,9.692321844,9.825946232,10.08420541
"SCAMP3",9.467164748,9.389781005,9.555389563,9.67922657,9.867283857,9.63094387,9.526981109,9.458027121,9.563438965,9.590468521,9.461389798,9.660228974,9.667230638,9.491216861,9.743572857,9.46935986
"RWDD2B",6.833649804,7.040188683,6.733471796,6.9565228,7.326870693,7.001298153,6.963626359,6.801932995,7.205231374,7.132168775,7.003981497,6.945561473,7.159288818,6.993160886,7.340054762,6.694878389
"CDH8",4.755776483,4.543964403,4.626007479,4.573025635,4.546741386,4.610908447,4.613872848,4.403641115,4.103419224,4.477993816,4.643527582,4.835205461,4.377726067,4.333495228,4.281686817,4.809344006
"DPP3",7.438178045,7.325293734,7.594950074,7.729349357,7.357363683,7.4099887,7.369395921,7.441835065,7.589833137,7.262872792,7.410365882,7.531579783,7.294998832,7.371692553,7.174417753,7.423382406
"SNUPN",7.922634472,8.101697039,8.084090806,8.322721286,8.500314756,7.923993333,8.030464253,8.079085701,8.25584313,8.058124999,7.895417153,8.1017737,8.184987215,8.144716227,8.271346806,8.109497434
"HUWE1",7.859321973,7.386822562,7.566268881,7.466341706,7.221131687,7.509323912,7.471963546,7.41365335,7.38791463,7.444666741,7.707443089,7.777418432,7.290355711,7.379894117,7.309935539,7.498851008
"PTPRU",7.180388764,6.70691452,6.922938462,6.844612139,6.829434577,6.757129018,6.971807694,6.891893634,6.720690805,7.187633602,6.89161658,6.870375265,6.743921402,6.974056608,6.794693872,6.896704125
"TSPAN32",9.361830985,9.018020517,9.157320587,9.235115908,9.2029334,9.067246703,9.306510046,9.102579793,9.191081995,9.326871215,9.23692944,9.114480536,9.199625903,9.19379141,9.318059521,8.879093681
"TSSC4",8.058279941,7.862667411,7.833947254,8.036335656,8.265228871,7.891551381,7.753021615,7.882769444,7.798595716,8.030554404,7.713464856,7.99907443,8.15183172,7.90070989,8.013121338,7.850822971
"CDH9",3.393322301,3.70196851,3.633084009,3.647940436,3.578768916,3.869187365,3.604725703,3.557156789,3.709871267,3.764365334,3.693321057,3.947212836,3.503249828,3.581250252,3.4742091,3.578842697
"USH1C",5.085003373,5.266241944,5.167745702,5.105108024,5.24583656,5.098590666,5.333821872,5.208754416,5.060029544,5.249359764,5.341532295,5.209199144,5.098983055,5.115132357,5.182236993,5.181479675
"PQBP1",8.794915145,8.682996036,8.625309238,8.961352983,8.850587564,8.861940127,8.870655076,8.440617828,8.886342911,8.811799553,8.775491948,8.825275301,8.75628459,8.785887815,8.891158323,8.758822008
"EDIL3",4.026825696,3.892972923,4.094248225,4.068373102,3.902504699,4.058522765,4.134371504,4.193800958,3.973463173,4.025731282,4.230811995,4.02859912,4.033022929,4.027805269,3.925751406,4.03826288
"CERT1",8.94851098,8.742557484,9.127835732,7.879368323,8.978134044,8.672672081,8.726361107,9.068207882,8.964766181,8.765136961,8.962854356,8.809650527,9.04671938,8.86402944,8.856964466,9.677544794
"KCNK7",6.293227858,6.025400106,6.213852274,6.062175025,5.958951704,6.027373749,6.07055652,6.153800679,5.907213809,6.085081614,5.890049625,6.145054839,5.890022628,6.096436507,5.916387466,6.028305227
"CDH10",4.552139655,4.247535241,4.421373198,4.268856518,4.316386951,4.447703671,4.150406457,4.433233206,4.231217778,4.365265979,4.354573117,4.569648621,4.218050522,4.268457341,4.262478401,4.413453991
"UST",4.685335638,4.745126656,4.708229953,4.98896104,5.069340764,4.852777457,4.535876112,4.756923579,4.872973106,4.754498467,4.701488523,4.835260082,5.051835034,4.744554615,4.925629698,4.755011535
"ARPC5",12.49115583,12.821416,12.61895381,12.70566906,12.58441492,12.70029755,12.61854364,12.54789055,12.5639519,12.41696218,12.5856179,12.55751464,12.60731137,12.65701844,12.49615973,12.59673344
"ARPC4",10.34852482,10.38405925,10.27172964,10.45486307,10.17404398,10.25844977,10.4309812,10.06466755,10.16156379,10.22775956,10.30223801,10.24101011,10.11913302,10.33475201,10.06851984,10.4537116
"ARPC1B",13.22265333,13.1762038,13.18710464,13.07474519,13.15173348,13.15080481,13.1641546,13.17047085,13.15872894,13.12822877,13.17091497,13.08464775,13.05729201,13.09659807,13.12066272,13.1762038
"ACTR3",11.29288904,11.87648644,11.44443085,11.59479442,11.78464595,11.63704966,11.44970363,11.69630297,11.73140083,11.43534782,11.43497056,11.3139172,11.82611145,11.72749586,11.77113463,11.56463857
"ACTR2",11.16505138,11.37949505,11.29374468,11.16737372,11.07605958,11.36373317,11.1489949,11.05217908,11.12387069,11.06960685,11.41898026,11.11970747,11.26205701,11.24673069,11.20431329,11.5812843
"TSPAN5",9.434482491,10.22684669,9.410507769,8.770768719,9.12639238,9.867262809,10.11832638,10.20215869,9.273233404,10.71140383,9.940936076,10.43979092,10.06214478,9.875351308,10.11482209,10.13229698
"TSPAN3",7.742752054,8.255672931,7.954204907,8.367972738,8.542901622,8.191151311,8.151290988,8.086520339,8.484166711,8.166675278,8.090003436,8.117121242,8.637031288,8.39692912,8.436894025,8.257534659
"CDH11",3.93565666,3.828765698,3.892421316,3.821664367,3.928738753,3.874151933,3.950210674,3.835951158,3.918205907,4.01421095,3.894530368,3.931680674,3.793316002,3.931328687,3.897643188,3.997055728
"ADA",9.06550374,9.075198126,9.149426249,9.410925322,9.427466373,9.044960227,9.124140394,9.144108844,9.400751261,9.09604869,9.011662418,9.174300397,9.129652621,9.166822276,9.090115067,9.082550902
