""," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"AKT3",4.435588496,4.409727063,4.459008141,4.885743517,4.443048849,4.403431227,4.539761402,5.089731302,4.381721906,4.606919272,4.549687783,4.552619709,4.71977994,4.760258833
"MED6",8.073534298,8.173327587,8.272964344,7.165741872,8.009994507,8.006555963,8.190828065,6.507129671,8.012160916,8.009340823,7.493724996,8.092888005,7.50830969,7.777878424
"NR2E3",4.497621765,4.62994699,4.442071313,4.928770807,4.477877901,4.357208397,4.358467846,5.469191217,4.492301676,4.4558292,4.704474,4.516617608,4.392777171,4.706289927
"NAALAD2",3.530403865,3.854429567,3.633083113,4.006948829,3.827231816,3.968199711,3.576650512,3.814513054,3.765682354,3.937485441,3.523219506,3.821686748,3.730618928,3.655576958
"NAALADL1",6.549820222,6.559307829,6.539712806,6.526694397,6.482970073,6.370279725,6.439744222,6.706127356,6.349654712,5.976276907,6.290825182,6.639501183,6.309404997,6.157071689
"ACOT8",8.434728109,8.291699595,8.343881874,8.474214941,8.409178621,8.45192326,8.356109658,8.659918365,8.392747282,8.419481562,8.503955367,8.726331855,8.623868626,8.704695322
"ABI1",9.409604016,9.486734257,9.493080146,8.169055938,9.334178724,9.413491488,9.628240884,7.620400561,9.738378402,9.769676046,9.407742897,9.545808786,9.110629297,9.33545347
"GNPDA1",8.506324302,8.34516825,8.437449622,8.390464498,8.33743959,8.416888279,8.380052184,7.871072068,8.25008762,8.402512453,8.508272927,8.948593319,8.753127911,8.494970544
"ZBTB33",3.509000393,3.547722094,3.431624112,3.594314324,3.427669391,3.63637456,3.542520858,3.411880741,3.531850063,3.612189114,3.453513447,3.554832048,3.4957585,3.428204825
"CDH2",5.00437682,4.962712509,4.704845934,5.102299499,4.920569791,4.889855508,4.671066067,5.246009874,4.642586314,4.681187288,4.590777224,4.756815804,4.934965822,4.74548262
"TANK",8.6682123,8.747042536,8.685579214,7.698770994,8.625220754,8.799544331,9.113707645,8.024692705,9.749089816,9.826511922,9.403355003,8.969229027,8.517296004,8.716508003
"HDAC6",7.954459342,7.851942845,7.960060236,8.349000726,7.861660112,7.792839374,7.806287808,8.213425517,7.879725772,7.765766131,7.872584114,8.057394479,8.098449658,7.947139678
"HDAC5",8.661781249,8.651718996,8.645776807,8.622672394,8.81927832,8.618101654,8.63395079,8.219590134,8.543192162,8.24750515,8.286083737,8.641160399,8.414957207,8.610472183
"PDCD6IP",10.52122807,10.57348459,10.73329626,10.11645071,10.64820554,10.53971518,10.60610312,9.753535255,10.59026855,10.59577716,10.438873,10.8164615,10.53364019,10.73905836
"PDCD6",9.495838471,9.48100408,9.577176631,9.157923954,9.429576264,9.497737932,9.47866746,8.874437481,9.376165377,9.31864743,9.257223682,9.481882652,9.410633816,9.336677911
"BCL2L10",4.696660158,4.935349387,4.549435556,5.220414027,4.850592562,4.77798554,4.819676119,6.652424171,4.81362308,5.083895698,4.849457311,4.95712268,5.317758561,4.770536758
