""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"AKT3",4.504404706,4.525096614,4.596223119,4.394360974,4.473721918,4.437693146,4.503529223,4.343671184,4.630228089,4.461325756,4.397835138,4.630843031,4.403335233,4.275330004,4.572091506
"MED6",7.993541315,8.129300034,8.164531215,8.195517502,8.160817035,8.232086222,8.154399126,8.227461768,8.278418672,8.21615124,8.30412946,8.175377292,8.306804699,8.261346285,7.844451095
"NR2E3",4.537538672,4.41385326,4.444098948,4.579907956,4.501044356,4.41876279,4.350684838,4.436022844,4.459266926,4.448771516,4.456339196,4.423729063,4.32451934,4.297250253,4.443849142
"NAALAD2",3.507977838,3.657601008,3.557966447,3.810686176,3.834731439,3.538911553,3.604975206,3.710620627,3.732506668,3.355462407,3.701929756,3.906791791,3.631412861,3.772704457,3.644596784
"NAALADL1",6.081735751,6.086163103,6.17182067,6.141804758,6.339463039,6.201124729,6.339387683,6.338523578,6.482625554,6.305363527,6.283302026,6.541103893,6.42071965,6.247837116,6.282365716
"ACOT8",8.345402813,8.434284814,8.40682349,8.439868518,8.481539353,8.413733406,8.572983946,8.503692819,8.304268295,8.453576518,8.524562947,8.521386805,8.430061422,8.55970811,8.483152417
"ABI1",9.550966983,9.548810323,9.740907467,9.515107354,9.940762316,9.876536032,9.914620141,10.00731564,9.705477541,9.959193029,9.881155094,9.630246671,10.13960417,9.978871362,9.756770519
"GNPDA1",8.16346693,8.252521522,8.123802759,8.393675895,8.197575083,8.139982722,8.406913536,8.245296542,8.198198499,8.162197457,8.13634102,8.164957542,8.130712076,8.139657424,8.209373946
"ZBTB33",3.583882778,3.446066265,3.646094653,3.66339926,3.487164754,3.567963968,3.652848075,3.441934001,3.334969168,3.506468827,3.652954007,3.53355123,3.477412236,3.435078562,3.557489775
"CDH2",4.766161022,4.673954908,4.807129683,4.757588078,4.792741887,4.758028513,4.749339497,4.59620843,4.618823335,4.790982967,4.63755167,4.624536674,4.606663863,4.507761399,4.662462592
"TANK",8.820904573,8.817980635,9.257603275,8.738166391,9.099873515,9.17339947,9.022336449,9.190253999,8.764885894,9.116099728,9.273338093,8.77308761,9.344292556,9.226531792,8.8958329
"HDAC6",7.90129421,7.79628858,7.651216019,7.914991422,7.638853224,7.486862995,7.641258797,7.574642034,7.881695609,7.599296258,7.581811662,7.807564247,7.50826662,7.536322803,7.859002177
"HDAC5",8.568601451,8.477475284,8.450214208,8.313186669,8.530725186,8.315275873,8.476685275,8.352012675,8.200321484,8.393190321,8.202102424,8.2189241,8.141653045,8.295464394,8.125828025
"PDCD6IP",10.69651851,10.75151628,10.66921871,10.9267501,10.65568728,10.65260148,10.75782446,10.7325621,10.6698735,10.67467071,10.60237105,10.49155262,10.63494261,10.58242368,10.43340021
"PDCD6",9.460735514,9.526360735,9.707240691,9.505587864,9.6630045,9.741725379,9.701139561,9.843324638,9.805823939,9.590385086,10.05229847,9.774887596,9.920943901,9.97592077,9.705723124
