"from_symbol","to_symbol","combined_score"
"ARF5","ACAP1",0.825
"ARF5","COPA",0.718
"ARF5","COPB2",0.752
"ARF5","ARFGAP1",0.795
"ARF5","RAB11A",0.792
"ARF5","COPB1",0.846
"M6PR","TGOLN2",0.748
"FKBP4","SERPINB2",0.712
"FKBP4","HSPA2",0.748
"FKBP4","MTOR",0.961
"FKBP4","DNAJB1",0.957
"FKBP4","PPID",0.937
"FKBP4","HSP90AB1",0.999
"FKBP4","HSPA4",0.998
"FKBP4","CDC37",0.859
"FKBP4","NR3C1",0.996
"FKBP4","HSP90AA1",0.999
"FKBP4","PGR",0.977
"FKBP4","S100A1",0.742
"FKBP4","AHSA1",0.973
"FKBP4","AR",0.928
"FKBP4","CHUK",0.801
"CYP26B1","CYP1A1",0.943
"CYP26B1","CYP2A6",0.936
"NDUFAF7","NDUFA7",0.74
"NDUFAF7","NDUFS3",0.735
"NDUFAF7","NDUFS2",0.947
"NDUFAF7","NDUFA10",0.721
"NDUFAF7","NDUFAF4",0.74
"NDUFAF7","NDUFS7",0.813
"NDUFAF7","NDUFAF1",0.799
"NDUFAF7","TMEM126B",0.82
"NDUFAF7","NDUFB5",0.708
"NDUFAF7","NDUFA13",0.702
"NDUFAF7","ATP5F1C",0.825
"CFTR","PRKACG",0.976
"CFTR","PRKACA",0.982
"CFTR","DNAJB1",0.825
"CFTR","AHSA1",0.867
"CFTR","HSP90AA1",0.986
"CFTR","HSPA4",0.925
"CFTR","VCP",0.938
"CFTR","RAB11A",0.709
"CFTR","HSP90AB1",0.964
"CFTR","DNAJA1",0.849
"CFTR","KRT18",0.702
"CFTR","YWHAZ",0.917
"CFTR","STUB1",0.97
"CYP51A1","FDPS",0.886
"CYP51A1","PGRMC1",0.867
"CYP51A1","DHCR7",0.978
"CYP51A1","CYB5A",0.764
"CYP51A1","PPIG",0.891
"SLC7A2","ARG2",0.831
"SLC7A2","ARG1",0.841
"HSPB6","DNAJB1",0.776
"HSPB6","HSP90AA1",0.783
"HSPB6","HSP90AB1",0.783
