"SYMBOL","Description"
"ACOT8","acyl-CoA thioesterase 8"
"CDH2","cadherin 2, type 1, N-cadherin (neuronal)"
"TANK","TRAF family member-associated NFKB activator"
"HDAC5","histone deacetylase 5"
"PDCD6","programmed cell death 6"
"TROAP","trophinin associated protein (tastin)"
"MED16","mediator complex subunit 16"
"PIGK","phosphatidylinositol glycan anchor biosynthesis, class K"
"PARP2","poly (ADP-ribose) polymerase family, member 2"
"HMGXB4","high-mobility group protein 2-like 1"
"RANBP9","RAN binding protein 9"
"SMC4","structural maintenance of chromosomes 4"
"TSPAN32","tetraspanin 32"
"USH1C","Usher syndrome 1C (autosomal recessive, severe)"
"TSFM","Ts translation elongation factor, mitochondrial"
"PPIF","peptidylprolyl isomerase F (cyclophilin F)"
"ARPC2","actin related protein 2/3 complex, subunit 2, 34kDa"
"RASGRP1","RAS guanyl releasing protein 1 (calcium and DAG-regulated)"
"DNAL4","dynein, axonemal, light chain 4"
"ZNF263","zinc finger protein 263"
"YAF2","YY1 associated factor 2"
"TOB1","transducer of ERBB2, 1"
"AKAP9","A kinase (PRKA) anchor protein (yotiao) 9"
"EBI3","Epstein-Barr virus induced gene 3"
"CEBPZ","CCAAT/enhancer binding protein zeta"
"TRIM28","tripartite motif-containing 28"
"CDH17","cadherin 17, LI cadherin (liver-intestine)"
"LPAR6","purinergic receptor P2Y, G-protein coupled, 5"
"LPCAT3","membrane bound O-acyltransferase domain containing 5"
"RCL1","RNA terminal phosphate cyclase-like 1"
"CNIH1","cornichon homolog (Drosophila)"
"RBM7","RNA binding motif protein 7"
"CDK2","cyclin-dependent kinase 2"
"RBM5","RNA binding motif protein 5"
"TXNDC9","thioredoxin domain containing 9"
"MPHOSPH10","M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)"
"CDK4","cyclin-dependent kinase 4"
"CDK5","cyclin-dependent kinase 5"
"CDK6","cyclin-dependent kinase 6"
"STX6","syntaxin 6"
"CDK7","cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)"
"AP3S2","adaptor-related protein complex 3, sigma 2 subunit"
"MRPS31","mitochondrial ribosomal protein S31"
"SRRM1","serine/arginine repetitive matrix 1"
"SF3B4","splicing factor 3b, subunit 4, 49kDa"
"CDKN1A","cyclin-dependent kinase inhibitor 1A (p21, Cip1)"
"FSTL3","follistatin-like 3 (secreted glycoprotein)"
"STUB1","STIP1 homology and U-box containing protein 1"
