""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"AKT3",4.527715063,4.600442,4.436855009,4.338744369,4.494652756,4.332082204,4.637091753,4.376774625,4.214539839,4.220953667,4.517827957,4.671151046,4.676733664,4.538685977,4.245806291,4.285753203
"MED6",8.118238455,8.303778539,8.077196731,8.459464474,8.407301156,7.785612038,7.96950338,8.402032516,8.352591098,7.852994451,8.117672007,8.21181653,7.68402326,8.543037092,8.492344229,8.303167906
"NR2E3",4.629273825,4.53295112,4.794183451,4.558316332,4.640785179,4.430558614,4.844467057,4.776047431,4.628149883,4.513478645,4.710555043,4.685678788,4.63617408,4.478816934,4.612731484,4.539473089
"NAALAD2",3.733003614,3.663344414,3.824897905,3.758481538,3.606014529,3.974601492,3.635671113,3.937843217,3.737039522,3.728672767,3.860730861,3.805815759,3.595796232,3.798074894,3.896638449,3.869585645
"NAALADL1",6.140368262,6.369838741,6.418774773,6.4296851,6.728542414,5.443803609,5.691579704,5.929230678,6.24699143,6.294776159,6.46964778,6.066023031,6.288873749,6.478689437,6.598066125,6.589345504
"ACOT8",8.154327511,8.235681283,8.272591034,8.242253744,8.518035724,7.970551711,8.087414966,8.35711119,8.402984286,8.133831904,8.386718983,8.416586458,8.114979588,8.565435919,8.496993274,8.593653859
"ABI1",9.330611814,9.383703225,9.124286976,9.41086871,9.432817204,8.687588269,9.442049356,9.830711073,9.667916873,9.399445255,9.233317763,9.219791395,9.475101455,9.447624417,9.50059874,9.469988682
"GNPDA1",8.464821803,8.074555362,8.16512,8.36438419,8.420913721,8.405667452,7.998737452,8.341638131,8.577269847,8.731014169,8.530197333,8.644587382,8.973080707,8.593733205,8.525941981,8.703529434
"ZBTB33",3.623189314,3.561420977,3.637153473,3.853627989,3.58524923,3.715153688,3.817817188,3.685375176,3.383799916,3.642498991,3.794702464,3.507922779,3.579975497,3.681005784,3.610141962,3.522261506
"CDH2",4.879573898,4.673310643,4.83574534,4.625260215,4.687651067,5.486241225,4.778339715,4.657699162,4.440056842,4.5715296,4.714416405,4.771498399,4.608416058,4.439745114,4.550813451,4.644629081
"TANK",8.931198678,9.039307676,8.843692273,9.186435664,9.328578822,8.508229815,9.639939857,10.106337,9.663095865,8.73781375,8.870016995,9.114294614,8.584295666,9.163940841,9.169426069,8.893098475
"HDAC6",7.950673606,8.02922791,8.052954846,7.830629823,7.884655693,7.932186644,8.034132992,8.04700972,8.024645804,7.887656704,7.915249074,8.080349564,7.807119137,7.690185327,7.765082909,7.723907822
"HDAC5",8.647995179,8.579866236,8.577842261,8.533434256,8.613338176,8.131528051,8.323079155,8.183695573,8.572570132,8.721365224,8.567585701,8.635826398,8.738824804,8.417221679,8.547861771,8.632385355
"PDCD6IP",10.50037363,10.42923409,10.2339463,10.40142417,10.42880402,10.27330934,10.23379997,10.3482605,10.48249552,10.40864022,10.37032324,10.75002844,10.56944873,10.64472586,10.58570916,10.35999398
"PDCD6",9.427505689,9.344954414,9.390584019,9.519902173,9.604198613,9.772707393,9.436182823,9.461778788,9.46289581,9.728211458,9.514688865,9.332058081,9.773930358,9.517516502,9.663684775,9.591432019
"BCL2L10",5.060698652,4.937472682,5.432728632,4.917769322,4.903246093,4.989315311,5.232432557,4.915079951,4.931913942,4.819390008,4.917132795,5.148372866,4.951157786,5.065617724,4.847701371,4.902171523
"BCL2L11",4.701820334,4.960245058,5.25644507,5.324368085,4.798037706,4.749216081,5.4948255,5.348473511,4.85850676,5.044731372,4.737309154,4.828468542,4.877757418,4.715899842,4.625077039,4.931856272
"SH2B3",10.29499397,10.09415496,9.835623983,10.09610479,10.04713284,9.526332927,10.25977532,10.41221678,10.71342511,10.58327125,10.20349479,10.66229704,10.53933186,10.37679145,10.34842341,10.10679621
"CDH3",5.610133709,5.40140778,5.573547769,5.374253417,5.6016088,6.184353002,5.523402532,5.315901434,5.181983727,5.472528454,5.333106344,5.429794634,5.492849645,5.311476418,5.556273907,5.378808102
"GNE",7.671980966,7.633686128,7.230974908,7.668438763,7.221569042,7.158219016,7.236947247,7.328474739,7.399390854,7.637255777,7.330271711,7.473595427,7.669875197,7.297675209,7.439585078,7.403220571
"HCN4",4.67104171,4.608798772,4.666208079,4.447674248,4.329778381,4.434047578,4.674217773,4.557120042,4.50417562,4.503020251,4.625866948,4.491463726,4.599661683,4.605123038,4.608234439,4.446299657
"INSL5",4.384402007,4.434139935,4.706432853,4.42868777,4.452025903,4.232625131,4.371872535,4.359811032,4.356928948,4.381853937,4.333052296,4.386105239,4.52434403,4.629672559,4.223988237,4.474201448
"FRAT1",10.86385987,10.96463834,10.82173597,10.77157356,10.73609055,10.23596528,10.65549691,11.04743045,10.89155955,10.86476194,10.53984496,10.79059433,10.86393966,10.57935243,10.6794991,10.70291914
"TROAP",5.530918521,5.117171606,5.850771976,5.260152328,5.091840802,6.853314664,5.745169088,5.634918097,5.978347984,5.17218546,5.651114511,5.460551932,5.500487665,5.768963893,5.270575219,5.882562468
"MED16",8.758636013,8.886714133,8.877741841,8.835544104,9.151528211,8.377610265,8.980650818,8.752623527,8.758864529,8.644043629,8.734112673,8.762457445,8.633911611,8.667750957,8.484871106,8.67301854
"PIGK",5.530309464,5.598167266,5.746949319,6.045476445,6.291312299,7.014283778,5.462633815,5.690448902,5.819476218,6.167603723,5.652133275,5.310000599,6.236272808,5.870213805,5.858626506,6.20938777
"CDH4",4.293173119,4.275985323,4.185269246,4.772907367,4.351545128,4.580128052,4.617201765,4.68331913,4.161815651,4.462189666,4.398003345,4.328005146,4.30315173,4.566082857,4.377777422,4.288465719
"CHAF1A",6.534483595,6.408787199,6.361748645,6.368547686,6.432217382,6.848643152,6.172687061,6.371279005,6.414500665,6.577611636,6.738137842,6.677629668,6.486611518,6.526063114,6.532847077,6.459374644
"PARP2",6.590324061,6.746685344,6.542382853,6.688739031,6.561987313,7.435424187,5.936955142,5.992854933,6.344700502,6.756990805,6.700520968,6.641505767,7.001421336,6.825405858,6.90916681,6.936614037
"PARP3",6.638353587,6.611407388,6.553155721,6.522894971,6.689258594,6.48465733,6.850620547,6.96055215,6.884944861,7.222455062,6.854682304,6.901454399,6.945347786,6.731730514,6.697936179,6.876123948
"CDH5",4.541273257,4.711512696,4.479220772,4.362107416,4.62593005,4.390997351,4.506999335,4.462308053,4.530005914,4.459652088,4.497667775,4.446437992,4.523684923,4.355669546,4.382339846,4.555392175
"TOM1L1",3.668904824,3.732452796,3.868808136,3.601249533,3.719403638,6.158841306,3.77104706,3.865538785,3.59846845,3.804877922,3.581555701,3.568770255,3.887446488,3.569391792,3.66494154,3.814399344
"HMGXB4",8.081580376,8.107521309,7.947296691,8.161535381,8.311723037,8.140036622,7.948727369,7.985608902,8.005931813,8.248735279,8.14999253,8.451041484,8.399165898,8.295266746,8.404554444,8.422176518
"TOM1",7.991625737,7.947050091,8.005302404,7.869254484,8.010180882,7.378567596,7.879476196,8.190418937,8.192012421,8.317117771,8.012388997,8.208328327,8.097728943,8.016015479,7.894894237,7.954411819
"SH2D3A",6.004825418,5.869671865,5.893825629,6.044041751,6.285321286,5.771778618,5.673188144,5.579267953,5.637569056,6.26377758,5.989018705,5.758987702,5.947889781,6.202956488,6.093737546,6.460658737
"MAMLD1",5.290167297,5.340556647,5.065884099,5.213960568,4.755549818,5.766854469,5.135752918,5.2262182,5.440826099,5.156455027,4.945089337,4.682473394,5.706179232,4.997058667,5.050043834,5.168949966
"RANBP9",7.875990276,8.080595158,7.83595622,8.122707913,7.912680787,7.8503953,7.844753053,7.874627602,7.938181664,7.840201485,7.887546983,7.931663395,7.641114778,7.99937215,8.034675559,7.887350964
"DNAJB6",8.655174088,8.726072452,8.664573827,8.767938496,8.744329969,8.458979865,9.048955037,8.671984181,8.588813405,8.605464317,8.506089304,8.445963643,8.515229685,8.58696411,8.710914503,8.628106065
"CDH6",3.75933522,3.792507636,3.908940304,3.78616783,3.745711425,3.936952469,3.882912723,3.889282939,3.691544286,3.856068731,3.897696159,3.808701352,3.790175565,3.81587397,3.744770111,3.813182763
"SLC17A4",4.852351087,4.790471768,5.018376483,4.728945415,4.903387948,4.680533473,4.882384907,4.74439984,4.820611821,4.932791458,4.863258312,4.933044997,4.92425749,4.760391777,4.692551309,4.761957384
"SMC4",6.790932082,7.132839625,6.751592281,7.209989743,6.980770529,8.683076302,6.658900699,6.576676607,6.796305486,6.854643118,6.976876436,6.731210705,6.95132171,7.184795123,7.341221539,7.357462677
"GJC1",4.597679388,4.443944007,4.878219347,4.608987241,4.560277876,4.553053473,4.856538443,4.522789508,4.453164793,4.509548515,4.376695963,4.567986342,4.588208681,4.31961336,4.399872075,4.536257346
"AP1M2",6.647348749,6.588608938,7.133600463,6.460666431,6.396185997,6.707160016,6.6891747,6.726462189,6.609063835,6.654468854,6.858958182,6.751123737,6.674970133,6.451298885,6.519997616,6.571029151
"UBA2",9.563384503,9.40682604,9.377300389,9.697383187,9.66082611,10.03767397,8.621354329,9.3320115,9.519063186,9.649405143,9.48362633,9.340961051,9.98701943,9.805871909,9.818501487,10.06485918
"SAE1",9.451430029,9.414964798,9.394106701,9.541370996,9.517746807,9.770893057,9.071426508,9.016709186,9.264868672,9.562640449,9.579087137,9.477858778,9.810226944,9.561316128,9.583982601,9.85410195
"ABCC5",8.37339284,8.264891092,8.034233171,8.231553796,8.15361172,7.809315334,7.665220585,6.849049338,7.52186687,7.787403396,7.722937855,8.106415017,8.191408403,8.049753039,8.087933631,7.96493067
"ABCB6",6.268079784,6.424302392,6.23579694,6.159571905,6.248687779,6.785619726,6.161530767,6.302236643,6.261879986,6.349941927,6.274167106,5.736488425,6.476816095,6.123456349,5.70713588,5.964940872
"DNM1L",7.010079447,7.034635668,6.957454449,7.283687261,7.024338953,7.634310702,6.832910961,6.936539572,7.386893578,7.162526214,7.009733393,7.161584792,7.203571624,7.21183992,7.290351278,6.973641145
"CDH7",4.756831396,4.633964445,4.90714638,4.706060633,4.534184105,4.81851098,5.222002144,4.870236097,4.688959464,4.825293174,4.874057137,4.618647092,4.445154931,4.657378076,4.639061616,4.598256953
"ABCC9",4.010869326,3.755097515,3.912547128,3.912040878,3.886392831,3.890279775,3.992149028,3.674407601,3.854598223,3.796429851,3.805964936,3.937526182,3.90758189,3.855470597,4.058628319,3.919785994
