"SYMBOL","ENTREZID","Description"
"AKT3",10000,"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"
"MED6",10001,"mediator complex subunit 6"
"NR2E3",10002,"nuclear receptor subfamily 2, group E, member 3"
"NAALAD2",10003,"N-acetylated alpha-linked acidic dipeptidase 2"
"NAALADL1",10004,"N-acetylated alpha-linked acidic dipeptidase-like 1"
"ACOT8",10005,"acyl-CoA thioesterase 8"
"ABI1",10006,"abl-interactor 1"
"GNPDA1",10007,"glucosamine-6-phosphate deaminase 1"
"ZBTB33",10009,"zinc finger and BTB domain containing 33"
"CDH2",1000,"cadherin 2, type 1, N-cadherin (neuronal)"
"TANK",10010,"TRAF family member-associated NFKB activator"
"HDAC6",10013,"histone deacetylase 6"
"HDAC5",10014,"histone deacetylase 5"
"PDCD6IP",10015,"programmed cell death 6 interacting protein"
"PDCD6",10016,"programmed cell death 6"
"BCL2L10",10017,"BCL2-like 10 (apoptosis facilitator)"
"BCL2L11",10018,"BCL2-like 11 (apoptosis facilitator)"
"SH2B3",10019,"SH2B adaptor protein 3"
"CDH3",1001,"cadherin 3, type 1, P-cadherin (placental)"
"GNE",10020,"glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase"
"HCN4",10021,"hyperpolarization activated cyclic nucleotide-gated potassium channel 4"
"INSL5",10022,"insulin-like 5"
"FRAT1",10023,"frequently rearranged in advanced T-cell lymphomas"
"TROAP",10024,"trophinin associated protein (tastin)"
"MED16",10025,"mediator complex subunit 16"
"PIGK",10026,"phosphatidylinositol glycan anchor biosynthesis, class K"
"CDH4",1002,"cadherin 4, type 1, R-cadherin (retinal)"
"CHAF1A",10036,"chromatin assembly factor 1, subunit A (p150)"
"PARP2",10038,"poly (ADP-ribose) polymerase family, member 2"
"PARP3",10039,"poly (ADP-ribose) polymerase family, member 3"
"CDH5",1003,"cadherin 5, type 2, VE-cadherin (vascular epithelium)"
"TOM1L1",10040,"target of myb1 (chicken)-like 1"
"HMGXB4",10042,"high-mobility group protein 2-like 1"
"TOM1",10043,"target of myb1 (chicken)"
"SH2D3A",10045,"SH2 domain containing 3A"
"MAMLD1",10046,"chromosome X open reading frame 6"
"RANBP9",10048,"RAN binding protein 9"
"DNAJB6",10049,"DnaJ (Hsp40) homolog, subfamily B, member 6"
"CDH6",1004,"cadherin 6, type 2, K-cadherin (fetal kidney)"
"SLC17A4",10050,"solute carrier family 17 (sodium phosphate), member 4"
"SMC4",10051,"structural maintenance of chromosomes 4"
"GJC1",10052,"gap junction protein, alpha 7, 45kDa"
"AP1M2",10053,"adaptor-related protein complex 1, mu 2 subunit"
"UBA2",10054,"SUMO1 activating enzyme subunit 2"
"SAE1",10055,"SUMO1 activating enzyme subunit 1"
"ABCC5",10057,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5"
"ABCB6",10058,"ATP-binding cassette, sub-family B (MDR/TAP), member 6"
"DNM1L",10059,"dynamin 1-like"
"CDH7",1005,"cadherin 7, type 2"
"ABCC9",10060,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
"ABCF2",10061,"ATP-binding cassette, sub-family F (GCN20), member 2"
"NR1H3",10062,"nuclear receptor subfamily 1, group H, member 3"
"SCAMP2",10066,"secretory carrier membrane protein 2"
"SCAMP3",10067,"secretory carrier membrane protein 3"
"RWDD2B",10069,"RWD domain containing 2B"
"CDH8",1006,"cadherin 8, type 2"
"DPP3",10072,"dipeptidyl-peptidase 3"
"SNUPN",10073,"snurportin 1"
"HUWE1",10075,"HECT, UBA and WWE domain containing 1"
"PTPRU",10076,"protein tyrosine phosphatase, receptor type, U"
"TSPAN32",10077,"tetraspanin 32"
"TSSC4",10078,"tumor suppressing subtransferable candidate 4"
"CDH9",1007,"cadherin 9, type 2 (T1-cadherin)"
"USH1C",10083,"Usher syndrome 1C (autosomal recessive, severe)"
"PQBP1",10084,"polyglutamine binding protein 1"
"EDIL3",10085,"EGF-like repeats and discoidin I-like domains 3"
"CERT1",10087,"collagen, type IV, alpha 3 (Goodpasture antigen) binding protein"
"KCNK7",10089,"potassium channel, subfamily K, member 7"
"CDH10",1008,"cadherin 10, type 2 (T2-cadherin)"
"UST",10090,"uronyl-2-sulfotransferase"
"ARPC5",10092,"actin related protein 2/3 complex, subunit 5, 16kDa"
"ARPC4",10093,"actin related protein 2/3 complex, subunit 4, 20kDa"
"ARPC1B",10095,"actin related protein 2/3 complex, subunit 1B, 41kDa"
"ACTR3",10096,"ARP3 actin-related protein 3 homolog (yeast)"
"ACTR2",10097,"ARP2 actin-related protein 2 homolog (yeast)"
"TSPAN5",10098,"tetraspanin 5"
"TSPAN3",10099,"tetraspanin 3"
"CDH11",1009,"cadherin 11, type 2, OB-cadherin (osteoblast)"
"ADA",100,"adenosine deaminase"
"TSPAN2",10100,"tetraspanin 2"
"NUBP2",10101,"nucleotide binding protein 2 (MinD homolog, E. coli)"
"TSFM",10102,"Ts translation elongation factor, mitochondrial"
"TSPAN1",10103,"tetraspanin 1"
"PPIF",10105,"peptidylprolyl isomerase F (cyclophilin F)"
"CTDSP2",10106,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2"
"TRIM10",10107,"tripartite motif-containing 10"
"ARPC2",10109,"actin related protein 2/3 complex, subunit 2, 34kDa"
"CDH12",1010,"cadherin 12, type 2 (N-cadherin 2)"
"SGK2",10110,"serum/glucocorticoid regulated kinase 2"
"RAD50",10111,"RAD50 homolog (S. cerevisiae)"
"KIF20A",10112,"kinesin family member 20A"
"PREB",10113,"prolactin regulatory element binding"
"HIPK3",10114,"homeodomain interacting protein kinase 3"
"FEM1B",10116,"fem-1 homolog b (C. elegans)"
"ACTR1B",10120,"ARP1 actin-related protein 1 homolog B, centractin beta (yeast)"
"ACTR1A",10121,"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
"RASGRP1",10125,"RAS guanyl releasing protein 1 (calcium and DAG-regulated)"
"DNAL4",10126,"dynein, axonemal, light chain 4"
"ZNF263",10127,"zinc finger protein 263"
"LRPPRC",10128,"leucine-rich PPR-motif containing"
"CDH13",1012,"cadherin 13, H-cadherin (heart)"
"PDIA6",10130,"protein disulfide isomerase family A, member 6"
"TRAP1",10131,"TNF receptor-associated protein 1"
"OPTN",10133,"optineurin"
"BCAP31",10134,"B-cell receptor-associated protein 31"
"CELA3A",10136,"elastase 3A, pancreatic"
"YAF2",10138,"YY1 associated factor 2"
"ARFRP1",10139,"ADP-ribosylation factor related protein 1"
"CDH15",1013,"cadherin 15, M-cadherin (myotubule)"
"TOB1",10140,"transducer of ERBB2, 1"
"AKAP9",10142,"A kinase (PRKA) anchor protein (yotiao) 9"
"FAM13A",10144,"family with sequence similarity 13, member A1"
"G3BP1",10146,"GTPase activating protein (SH3 domain) binding protein 1"
"SUGP2",10147,"splicing factor, arginine/serine-rich 14"
"EBI3",10148,"Epstein-Barr virus induced gene 3"
"ADGRG2",10149,"G protein-coupled receptor 64"
"MBNL2",10150,"muscleblind-like 2 (Drosophila)"
"ABI2",10152,"abl interactor 2"
"CEBPZ",10153,"CCAAT/enhancer binding protein zeta"
"PLXNC1",10154,"plexin C1"
"TRIM28",10155,"tripartite motif-containing 28"
"AASS",10157,"aminoadipate-semialdehyde synthase"
"PDZK1IP1",10158,"PDZK1 interacting protein 1"
"ATP6AP2",10159,"ATPase, H+ transporting, lysosomal accessory protein 2"
"CDH17",1015,"cadherin 17, LI cadherin (liver-intestine)"
"FARP1",10160,"FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)"
"LPAR6",10161,"purinergic receptor P2Y, G-protein coupled, 5"
"LPCAT3",10162,"membrane bound O-acyltransferase domain containing 5"
"CHST4",10164,"carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4"
"SLC25A13",10165,"solute carrier family 25, member 13 (citrin)"
"ZNF197",10168,"zinc finger protein 197"
"SERF2",10169,"small EDRK-rich factor 2"
"CDH18",1016,"cadherin 18, type 2"
"DHRS9",10170,"dehydrogenase/reductase (SDR family) member 9"
"RCL1",10171,"RNA terminal phosphate cyclase-like 1"
"SORBS3",10174,"sorbin and SH3 domain containing 3"
"CNIH1",10175,"cornichon homolog (Drosophila)"
"RBM7",10179,"RNA binding motif protein 7"
"CDK2",1017,"cyclin-dependent kinase 2"
"RBM5",10181,"RNA binding motif protein 5"
"LHFPL6",10186,"lipoma HMGIC fusion partner"
