""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"AKT3",4.682608089,4.463137464,4.422682092,4.509438441,4.592887658,4.187541652,4.46912837,4.609946261,4.539349581,4.478568729,4.446937861,4.488222439,4.497665974,4.627037792,4.622121616,4.51836066
"MED6",7.867474314,8.024729917,7.995189624,8.199301029,8.119682431,8.045285869,8.248205962,8.16435023,8.399053691,8.10067798,8.238923559,8.050252441,8.151125158,8.115488358,8.032115546,7.775005098
"NR2E3",4.698568641,4.479890762,4.467379827,4.508376779,4.651851412,4.33794437,4.315174047,4.50057193,4.207190642,4.448543148,4.272551286,4.500009999,4.419653909,4.370328351,4.533476349,4.378184565
"NAALAD2",3.741363343,3.730574788,3.663373412,3.697422455,3.772692906,3.689115266,3.708014072,3.506717711,3.596907807,3.705163714,3.436097339,3.830013118,3.588333875,3.592365931,3.628711073,3.42277699
"NAALADL1",6.274329302,6.466271442,6.638839487,6.70914643,6.512662151,6.544061914,6.560621245,6.400749422,6.49874725,6.520761024,6.309496185,6.736753148,6.733205825,6.320634648,6.622041897,6.434566305
"ACOT8",8.27022281,8.344013135,8.43354159,8.341408608,8.451013747,8.409206428,8.26005463,8.527826167,8.451581813,8.423318388,8.465009835,8.374605568,8.457919248,8.428260262,8.476189703,8.395157419
"ABI1",9.349206405,9.243778677,9.418845592,9.609231898,9.381245263,10.00984787,9.726620157,9.238504378,9.722787324,9.464333738,9.571051136,9.438082008,9.566626074,9.769066753,9.636940189,9.467596741
"GNPDA1",8.16521715,8.413875769,8.173556273,8.28437718,8.482109399,8.264949351,8.34803316,8.608230304,8.418843393,8.372167039,8.50754638,8.362214272,8.17027165,8.376450639,8.183947188,8.249199649
"ZBTB33",3.40581882,3.373503156,3.58543693,3.490621454,3.390550288,3.529431305,3.633691641,3.379964559,3.725427528,3.600938705,3.512642729,3.451875885,3.622365606,3.667731037,3.78169656,3.510317933
"CDH2",4.936709142,4.76256211,4.753144637,4.724818338,4.689602737,4.428424194,4.642777128,4.940196346,4.534479647,4.590097124,4.730061275,4.646443034,4.655330249,4.777536748,4.791000822,4.537923021
"TANK",8.833430635,8.516988001,8.506875428,8.900524629,8.683854064,9.216140128,8.947636147,8.581088086,9.034061346,8.958430557,9.009744006,8.56425329,8.888726081,9.06678748,9.079873632,8.784064222
"HDAC6",7.920511749,7.93674902,7.891175533,7.804366104,7.843834365,7.64358822,7.85199751,8.076143404,7.699400038,8.022723413,7.833163464,8.073089634,7.837295493,7.905362811,7.911962433,8.005969753
"HDAC5",8.796093075,8.734891472,8.644817283,8.27384033,8.566481576,8.194000436,8.286556706,8.625011951,8.484401035,8.308791594,8.749436435,8.466131487,8.305742183,8.491131438,8.31432505,8.487284695
"PDCD6IP",10.76102681,10.83070881,10.83961852,10.76827548,10.71223796,10.6088481,10.91604518,10.83132624,10.8652826,10.68969758,10.80634762,10.88788503,10.66502212,10.7909185,10.59449874,10.75317942
"PDCD6",9.46595721,9.527705323,9.764553082,9.904623382,9.558624656,9.947618758,9.802680536,9.558816446,9.789843916,9.669090554,9.636078904,9.516952477,9.803567033,9.501354216,9.703760295,9.536755049
"BCL2L10",4.880923851,4.947866431,4.840852569,4.835456503,4.815983089,4.69661899,4.54073558,4.801701319,4.611452032,4.811672138,4.651487345,4.804166534,4.832195612,4.620486264,4.647583671,4.591038467
"BCL2L11",4.957784207,5.005228207,4.55520383,4.418644967,5.0002392,4.311905856,4.400462889,4.985342119,4.664763932,4.421332968,5.041248099,4.539085509,4.484260392,4.755802344,4.428226446,4.544911023
"SH2B3",10.76916151,10.70980936,10.40491875,10.24666677,10.55506695,10.22614937,10.52189193,10.51108249,10.39971421,10.50930649,10.62276345,10.54391617,10.23838044,10.49991648,10.26556264,10.69228557
"CDH3",5.750254246,5.725103644,5.632326382,5.571897455,5.470315888,5.235084867,5.469091905,5.75825833,5.358953388,5.438089231,5.46675612,5.610020394,5.663483374,5.505277865,5.4973839,5.562013371
"GNE",7.376775147,7.621669845,7.607510653,7.624675761,7.35913114,7.600686474,7.813816534,7.427532544,7.795367866,7.657862551,7.699175996,7.802690638,7.61462344,7.48141439,7.428444385,7.700847254
"HCN4",4.811171145,4.427932845,4.456771586,4.54859158,4.706592083,4.526800004,4.393040317,4.65464248,4.348353048,4.524804323,4.460990615,4.711638744,4.61915151,4.605206077,4.482237006,4.559973413
"INSL5",4.382186982,4.398711535,4.217627052,4.36193241,4.217117588,4.112454796,4.177018906,4.562158912,4.177849336,4.219788988,4.204006768,4.263583038,4.351505558,4.210227494,4.293287396,4.188432049
"FRAT1",11.29227714,11.12529728,10.71800358,10.05381715,11.03453215,10.6151105,10.21849064,11.21898812,10.42236877,10.23839545,11.01209812,10.33901524,10.14652753,11.00748555,10.13316577,10.41578871
"TROAP",5.623530749,5.839079826,5.480659725,5.305017102,5.664282363,5.23125125,5.3448874,5.795849857,5.430678247,5.393986412,5.572490141,5.602786634,5.466378509,5.594401828,5.84608641,5.502262683
"MED16",8.542688187,8.620726755,8.34534363,8.094262338,8.316653955,7.955010986,8.006023367,8.659723214,8.217378231,8.255711656,8.382904609,8.222841451,8.203460007,8.431482483,8.062895681,8.451923714
"PIGK",4.714924666,5.29634253,6.347175501,6.724846609,5.109543153,7.712064653,7.040109855,5.50871228,6.776047858,6.503444135,5.891808565,5.734648429,7.389014666,5.986869072,7.190886448,7.01098584
"CDH4",4.527278983,4.48596668,4.352851974,4.106757644,4.470220949,4.257273066,4.381709875,4.584527699,4.256523398,4.382812592,4.264878923,4.406109897,4.404597416,4.333039393,4.303145521,4.126530346
"CHAF1A",6.438557999,6.538651076,6.40677527,6.274983634,6.521701422,6.197586075,6.343173227,6.579469401,6.240120567,6.295721245,6.438114607,6.29562563,6.261094358,6.357909017,6.31891871,6.419073477
