"from_symbol","to_symbol","combined_score"
"ARF5","ACAP1",0.825
"ARF5","COPA",0.718
"ARF5","RAB11FIP3",0.952
"ARF5","COPB2",0.752
"ARF5","COPE",0.795
"ARF5","ARF3",0.756
"ARF5","ARFGAP1",0.795
"ARF5","RAB11FIP1",0.755
"ARF5","CYTH1",0.765
"ARF5","IQSEC1",0.835
"ARF5","RAB11A",0.792
"ARF5","ARFGAP2",0.785
"ARF5","COPB1",0.846
"ARF5","ARF4",0.888
"ARF5","ASAP1",0.892
"ARF5","RAB11FIP4",0.847
"ARF5","GORAB",0.745
"ARF5","ACAP2",0.815
"ARF5","ARFGAP3",0.737
"ARF5","ARFIP1",0.861
"ARF5","ARF1",0.862
"ARF5","CDKN2A",0.76
"ARF5","GBF1",0.828
"ARF5","ARFIP2",0.842
"ARF5","AGAP1",0.702
"ARF5","ASAP2",0.747
"ARF5","COPZ1",0.705
"M6PR","GGA3",0.993
"M6PR","VTI1A",0.745
"M6PR","TGOLN2",0.748
"M6PR","GGA2",0.911
"M6PR","GGA1",0.957
"M6PR","IGF2R",0.991
"M6PR","PLIN3",0.872
"FKBP4","STIP1",0.979
"FKBP4","NR3C2",0.945
"FKBP4","FKBP5",0.972
"FKBP4","HSPA8",0.942
"FKBP4","GLMN",0.983
"FKBP4","HSF1",0.783
"FKBP4","HSPA2",0.748
"FKBP4","MTOR",0.961
"FKBP4","AKT1",0.914
"FKBP4","PTGES3",0.99
"FKBP4","DNAJB1",0.957
"FKBP4","PPID",0.937
"FKBP4","HSP90AB1",0.999
"FKBP4","HSPA4",0.998
"FKBP4","CDC37L1",0.734
"FKBP4","CDC37",0.859
"FKBP4","NR3C1",0.996
"FKBP4","HSP90AA1",0.999
"FKBP4","PHYH",0.783
"FKBP4","AHSA1",0.973
"FKBP4","DCTN2",0.761
"FKBP4","PHLPP1",0.993
"FKBP4","CLCA1",0.745
"FKBP4","ADSL",0.849
"FKBP4","HSPA1A",0.771
"FKBP4","HSPA1B",0.806
"FKBP4","CHUK",0.801
