"","TCGA-A6-2686-11A-01R-A32Z-07","TCGA-AA-3514-11A-01R-A32Z-07","TCGA-A6-5659-11A-01R-1653-07","TCGA-F4-6704-11A-01R-1839-07","TCGA-AZ-6600-11A-01R-1774-07","TCGA-AA-3663-11A-01R-1723-07","TCGA-A6-2684-11A-01R-A32Z-07","TCGA-A6-2675-11A-01R-1723-07","TCGA-A6-2679-11A-01R-A32Z-07","TCGA-A6-5667-11A-01R-1723-07","TCGA-A6-2671-11A-01R-A32Z-07","TCGA-AA-3520-11A-01R-A32Z-07","TCGA-AZ-6605-11A-01R-1839-07","TCGA-A6-5662-11A-01R-1653-07","TCGA-AZ-6598-11A-01R-1774-07","TCGA-AA-3534-11A-01R-A32Z-07","TCGA-A6-2683-11A-01R-A32Z-07","TCGA-AA-3660-11A-01R-1723-07","TCGA-AA-3531-11A-01R-A32Z-07","TCGA-AA-3516-11A-01R-A32Z-07","TCGA-A6-2682-11A-01R-A32Z-07","TCGA-AZ-6601-11A-01R-1774-07","TCGA-AA-3496-11A-01R-1839-07","TCGA-AA-3713-11A-01R-1723-07","TCGA-AA-3522-11A-01R-A32Z-07","TCGA-AA-3697-11A-01R-1723-07","TCGA-AA-3511-11A-01R-1839-07","TCGA-A6-2680-11A-01R-A32Z-07","TCGA-AA-3712-11A-01R-1723-07","TCGA-AZ-6603-11A-02R-1839-07","TCGA-A6-2678-11A-01R-A32Z-07","TCGA-AZ-6599-11A-01R-1774-07","TCGA-AA-3527-11A-01R-A32Z-07","TCGA-AA-3525-11A-01R-A32Z-07","TCGA-AA-3662-11A-01R-1723-07","TCGA-AA-3655-11A-01R-1723-07","TCGA-A6-5665-11A-01R-1653-07","TCGA-AA-3489-11A-01R-1839-07","TCGA-AA-3517-11A-01R-A32Z-07","TCGA-AA-3518-11A-01R-1672-07","TCGA-A6-2685-11A-01R-A32Z-07"
"TSPAN6",45.977,108.4972,71.4214,72.0925,70.4172,51.8671,64.3955,44.9741,54.7945,85.1339,63.9548,53.5405,15.6257,65.0412,70.5755,58.5908,87.6204,83.4149,62.7209,52.3857,71.3061,63.2273,62.126,69.3088,60.5506,75.1865,75.0922,36.3343,62.3838,59.2916,89.9504,106.6104,83.1777,30.5298,140.0038,115.2235,50.6013,115.4721,69.3069,87.0863,72.2832
"TNMD",1.6419,3.1672,2.675,3.4023,1.1723,2.2749,1.6325,0.7625,1.9127,1.8923,0.9383,1.2938,0.9658,2.0327,2.1611,2.0723,2.3156,1.8525,1.0035,1.4369,2.0719,0.963,2.6409,3.7531,2.2761,0.8933,0.8067,0.7005,1.0268,1.6765,2.1107,0.6298,1.8218,0.6713,1.8741,1.452,1.7354,1.6774,2.2431,1.86,3.051
"DPM1",60.8299,68.5945,69.8698,98.0925,63.1909,60.6461,54.1263,56.5666,51.548,64.7924,55.2409,61.706,53.3423,78.5964,54.6746,52.1185,61.559,88.8137,55.9364,45.1985,60.4515,48.7645,88.4315,137.148,66.3684,94.803,70.5636,65.1003,60.4812,70.3447,62.205,60.0744,62.6221,60.3606,85.9778,99.85,51.5522,125.8912,54.2195,49.6967,68.4001
"SCYL3",6.4616,6.2189,5.5893,6.2059,4.0926,5.6372,5.9352,4.9597,5.4426,7.2945,5.3681,6.5999,5.005,5.3345,5.037,6.5486,6.1423,7.6995,5.9416,6.6017,6.2133,6.5707,6.9292,7.9645,7.4673,5.8553,8.0035,5.0662,9.2848,5.6623,7.3702,5.6905,6.2446,6.1477,10.5831,7.8363,6.0812,9.4869,6.1088,5.5164,7.594
"C1orf112",2.1575,3.085,1.1532,4.1366,1.6926,2.0123,1.2934,1.7218,1.7461,1.8714,1.1185,1.7015,1.3531,1.6752,2.1285,1.7014,2.2037,2.1822,1.1647,0.7785,1.7048,2.2835,2.3237,2.6511,2.7991,3.5338,2.6454,0.74,1.7559,2.3315,1.7569,2.6575,1.7524,1.8549,1.8534,2.2138,1.0988,2.7474,1.485,1.0586,3.3315
"FGR",4.2729,7.4441,4.0412,9.4508,4.9934,8.2737,3.5623,5.7015,5.9878,4.5618,2.8373,4.0849,4.1915,10.371,6.3393,8.0716,2.6026,7.0384,4.9512,2.2148,5.4819,5.4064,9.7969,5.9987,3.6252,13.7303,6.8749,3.1543,6.7033,15.6165,4.5905,4.5079,3.9133,6.8762,7.4109,4.9218,3.1588,15.0527,4.5249,3.2011,2.7423
"CFH",14.9765,18.3082,9.6292,33.1459,22.8885,19.7297,10.0602,27.2284,22.2882,15.0917,13.8781,16.6908,13.1393,22.093,18.7215,17.1114,21.0157,21.7171,13.0182,5.6885,12.6524,20.0223,23.576,12.4681,13.1768,21.2431,22.2648,13.439,21.7541,28.7993,23.4307,34.9401,14.8948,12.935,44.3915,25.2546,10.9994,27.9805,15.0603,13.8327,15.4313
"FUCA2",57.2833,57.7193,53.8487,63.1631,50.3269,42.2269,51.7149,42.6987,48.7318,50.3348,56.9996,55.3764,27.3613,42.046,42.9897,51.414,50.6846,59.8153,50.7651,47.5542,50.8818,46.6595,47.1265,51.4961,52.7995,63.8899,54.321,46.8454,52.4306,47.4326,54.2971,51.6086,59.7916,50.8076,66.5965,53.0609,51.0724,53.1871,51.3992,43.1357,68.4464
"GCLC",11.691,13.4368,13.1572,14.6159,9.9505,14.0005,9.9636,14.3736,12.3917,13.9513,10.5147,13.3712,16.3477,14.2903,11.1646,13.8958,12.066,11.627,8.7461,8.8645,10.1133,10.3233,19.1833,12.8056,14.7378,11.0559,13.5044,13.8183,13.6734,13.5221,13.7852,11.0458,12.7439,10.9562,16.3117,12.9732,12.2149,13.7086,9.6469,11.2459,11.4025
"NFYA",15.7447,18.7396,15.0093,23.4865,18.3608,17.9936,16.5535,15.1199,13.8045,21.2536,12.9919,18.605,12.198,18.1821,16.0951,18.8994,22.8014,17.6832,15.2113,10.4551,20.6755,20.2931,18.1402,14.4601,21.5808,17.2842,23.845,10.7407,21.6906,19.2153,20.5732,22.165,18.4332,15.4772,24.1731,19.0269,17.0814,18.2914,17.2686,14.8018,22.2682
