"","TCGA-AG-3731-11A-01R-1736-07","TCGA-AF-2691-11A-01R-A32Z-07","TCGA-AG-3732-11A-01R-1660-07","TCGA-AH-6643-11A-01R-1830-07","TCGA-AF-3400-11A-01R-A32Z-07","TCGA-AG-3742-11A-01R-1660-07","TCGA-AG-3725-11A-01R-1736-07","TCGA-AF-2692-11A-01R-A32Z-07","TCGA-AF-5654-11A-11R-1660-07","TCGA-AF-2689-11A-01R-A32Z-07"
"TSPAN6",91.0831,75.1427,61.6879,87.6843,79.9616,82.1872,122.584,68.1329,92.6196,57.5133
"TNMD",2.1054,0.8274,2.4773,1.6331,0.6181,1.208,2.3803,3.2632,1.879,1.224
"DPM1",82.3033,83.8509,90.7318,75.3288,82.3457,141.4912,138.1821,81.8707,93.2874,68.3828
"SCYL3",7.8825,5.1148,9.0709,6.8292,6.3062,7.7826,8.3501,4.9138,7.08,5.3846
"C1orf112",1.7237,2.5082,3.0318,1.9558,3.6594,2.4152,2.6205,2.5622,3.1191,2.6285
"FGR",9.1433,6.3274,4.0544,9.8003,2.4135,6.3723,3.5282,7.0739,2.9755,7.433
"CFH",27.4189,24.4671,47.8947,27.243,19.0315,28.7646,27.0809,34.2909,23.3545,24.4832
"FUCA2",56.8467,64.8788,46.1278,43.9907,71.2059,48.1282,48.4138,55.2545,59.7518,51.2162
"GCLC",16.0433,14.7937,23.4739,14.2214,12.6696,17.7657,9.4458,14.8259,9.6726,14.2014
"NFYA",22.1901,14.6717,21.1323,18.1849,18.634,16.558,14.3156,20.6521,14.7,16.5786
"NIPAL3",19.5078,15.1342,30.4225,23.1534,20.2516,14.6281,9.3622,25.7152,20.8722,18.6236
"LAS1L",7.3565,9.2285,9.276,7.1339,9.1479,7.465,4.3929,9.8143,6.5006,8.0912
"ENPP4",28.1814,24.4917,40.5297,31.0301,26.4476,38.0263,30.6756,25.2221,39.5339,18.2844
"SEMA3F",19.0854,12.3562,15.4566,11.894,13.6504,13.2683,10.9476,15.497,13.5786,11.9794
"CFTR",86.9506,60.3901,55.7197,49.0069,85.9123,51.3535,57.4087,69.9914,45.6207,44.2564
"ANKIB1",22.2142,16.4926,34.6527,20.8788,19.5205,24.1199,14.6863,24.2832,19.2064,15.5436
"CYP51A1",3.4934,8.9076,1.9946,1.3021,5.8369,1.9551,2.179,7.6791,9.4754,3.2326
"KRIT1",2.3649,1.6348,2.9469,2.5012,1.7723,2.599,1.8165,2.1158,2.0819,1.7306
"RAD52",6.5391,2.6178,6.9022,9.2342,6.0032,5.1991,6.1241,5.0308,8.3409,5.5138
"BAD",26.0385,19.1507,16.2703,17.5973,31.7102,27.1416,37.1426,21.4442,14.6137,23.5124
"LAP3",68.7503,68.1528,80.2554,67.0695,65.8764,79.8564,51.5609,74.5058,80.4736,68.0383
"CD99",179.2675,100.9419,164.9505,102.6971,138.4214,139.0057,119.6715,138.859,98.0613,114.4364
"HS3ST1",3.1382,6.0063,2.3975,3.5663,2.6413,3.3469,3.3346,3.652,1.8544,4.1239
"AOC1",436.3175,501.5722,252.5095,446.6006,737.7657,294.7906,344.9325,335.6348,908.6055,665.0016
"LASP1",142.1386,169.7973,120.9437,141.7815,248.8814,94.2313,72.5896,127.8056,230.9262,165.5727
"SNX11",19.5615,21.0575,23.2017,19.5749,20.5397,33.3119,44.8777,20.1188,19.4214,18.9714
"TMEM176A",145.5784,120.3869,84.9458,133.3257,198.095,118.0548,184.8763,128.3564,121.6266,124.0954
"M6PR",68.2943,55.3511,50.0542,41.9614,54.4305,63.7255,42.1409,52.8697,35.7402,46.5215
"KLHL13",5.2162,4.4484,9.8836,3.7109,1.9047,6.6054,4.2909,6.7535,1.8042,3.866
"CYP26B1",5.8207,2.52,9.9889,5.3023,1.0723,3.9263,0.9782,7.1768,0.6952,4.745
"ICA1",21.8464,21.0746,10.6147,21.1963,19.2139,20.2416,22.3049,23.5323,12.203,9.2391
"ALS2",5.0319,4.9396,7.8995,4.893,3.8962,6.4465,2.8706,5.7198,4.0993,3.7188
"CASP10",20.0253,19.3529,14.7231,19.3762,33.2261,13.3855,15.4511,14.3196,33.6353,16.4572
"CFLAR",12.1087,18.17,15.994,18.823,13.0146,11.5011,7.1719,18.1091,16.9729,12.1543
"TFPI",9.5199,6.7633,14.2653,6.4692,3.6399,12.8783,5.7496,7.8078,7.5626,7.8393
"NDUFAF7",8.9301,7.4901,11.1919,8.4386,8.8113,13.0795,10.2404,8.9592,6.9884,6.9843
"RBM5",13.9791,7.3315,20.4504,17.143,11.3814,12.6421,10.4968,13.1491,13.4041,11.6923
"ARF5",161.4285,170.4428,106.7408,102.6535,186.4827,169.1456,226.9845,154.5519,128.3012,145.2674
"SARM1",1.4863,1.3484,1.6546,1.7772,1.3101,1.3822,0.6745,2.3545,1.32,1.2876
"POLDIP2",128.6565,134.3403,118.8716,94.9368,170.1928,145.5488,122.1525,138.487,134.7945,114.5662
"PLXND1",22.1216,17.2295,27.6622,18.1681,11.8769,14.187,5.7294,28.9981,12.3455,21.3723
"AK2",38.389,37.3105,37.743,33.9273,51.5969,44.6685,52.178,39.313,45.5096,32.6712
"CD38",5.6315,4.7935,3.5462,8.9533,1.4705,3.3125,2.4555,3.6047,2.2881,4.321
"FKBP4",62.1526,81.6911,50.62,44.0038,77.8211,50.8552,42.3317,82.5762,59.8241,52.4884
"KDM1A",42.5342,47.087,45.4042,31.087,59.0568,42.0953,26.8085,47.7234,36.7352,37.2337
"CAMKK1",3.1664,4.8363,5.731,2.7261,3.7273,3.911,1.7837,5.7607,3.6352,4.4862
"RECQL",12.1596,13.2363,24.6494,12.9169,7.9284,19.2419,9.0164,16.0649,6.605,10.9684
"VPS50",8.4044,7.3103,12.7858,8.1168,8.9761,11.2564,9.1193,8.5049,9.367,7.2414
"HSPB6",45.0337,97.5138,88.8152,45.0924,8.5502,79.3202,24.6088,153.4135,4.2285,91.4703
"NDUFAB1",131.0449,150.2434,105.3498,100.7303,191.1298,189.8476,291.839,134.8521,157.0949,137.6495
"PDK4",144.2768,121.4493,186.3473,135.5553,17.3294,247.3216,53.2188,244.842,93.4679,78.3139
"SLC25A13",28.1494,48.6914,23.6788,33.7863,56.7121,25.0326,18.3861,32.6275,56.2999,33.1834
"CDC27",18.6858,17.7725,32.994,21.8568,19.3003,26.1965,14.2508,20.6084,18.3349,17.7306
"HCCS",48.7259,40.2951,50.0959,52.4054,47.9536,62.004,70.1096,44.5026,56.4781,41.5945
"DVL2",20.6513,13.1327,24.6357,15.3461,16.1885,17.4536,10.0538,20.5309,15.3235,17.1512
"UPF1",38.1736,56.7665,52.7496,43.5735,60.6559,26.6212,15.4185,65.0419,42.4152,46.6873
"SKAP2",30.3894,34.3301,55.23,44.5003,44.8983,49.6999,45.1579,42.7893,54.9245,33.7191
"SLC25A5",901.6531,1057.9309,893.1469,953.0665,1779.4911,1253.4555,1658.1044,1056.4306,1898.6662,1149.9821
"MCUB",11.5501,11.083,12.2399,14.2182,8.4685,16.3984,18.7216,9.6775,11.1224,13.4746
"HOXA11",6.6232,5.7695,26.2698,8.58,5.4869,14.4354,6.2093,9.5387,2.9392,10.7917
"POLR2J",71.9978,64.5426,50.7327,59.9295,88.0217,81.0686,123.9209,61.5614,64.0925,70.2089
"DHX33",8.8089,11.9793,14.2118,8.5361,12.4496,8.6239,4.5804,12.3796,10.4027,8.1498
"MEOX1",8.4207,7.2878,10.1874,4.5637,2.873,12.1182,2.8013,11.2231,4.5931,8.4165
"LIG3",5.6152,6.1163,6.5047,4.1165,7.7414,4.8372,2.8518,6.2279,5.0119,4.9574
"RPAP3",14.6451,14.0838,22.7252,15.2066,11.7211,19.7064,10.2595,14.543,9.0939,12.1955
"ACSM3",20.235,7.5513,8.5571,7.252,13.9314,9.1354,9.0299,9.8246,7.5229,5.5399
"REXO5",2.528,2.8933,2.1124,2.0889,3.4338,3.1303,3.4991,3.5663,3.4887,2.7373
"CIAPIN1",36.427,47.7003,33.8038,28.7242,50.6976,49.4735,51.4958,38.6131,36.9608,34.1937
"SPPL2B",18.8695,16.1683,13.4921,20.0328,28.8,10.4386,8.8994,18.5989,24.4049,17.8463
"COPZ2",21.7862,18.5536,42.6204,16.8339,5.7381,41.6273,14.5653,32.7614,5.6902,18.783
"PRKAR2B",28.233,20.9932,55.1655,20.0959,16.0764,38.5061,13.5629,36.834,13.758,23.5081
"MSL3",7.6311,5.0602,8.9357,8.488,5.8521,8.9015,10.906,7.2953,6.4817,7.1728
"CREBBP",20.0365,20.9565,32.5342,23.734,18.8195,15.0195,5.7344,28.6545,15.4597,21.3057
"TSPOAP1",3.2027,2.3545,4.559,3.4063,1.758,3.1039,1.2223,4.6845,1.3567,2.4882
"GCFC2",7.788,6.533,12.4685,6.8543,5.0898,13.1142,6.4809,8.0721,5.3532,4.8859
"WDR54",6.7699,5.1201,7.0836,5.3353,5.118,7.5564,7.3217,6.7738,6.1124,6.2804
"CROT",7.7002,9.6207,17.9533,17.2374,11.6601,15.1939,11.6655,14.8879,12.2943,11.1194
"KMT2E",31.9108,28.2818,52.97,36.858,33.1217,25.9782,14.5386,35.7558,33.7534,27.1245
"IBTK",24.014,47.8379,30.1112,24.3983,38.3173,34.6219,17.502,35.5671,32.5442,20.7682
"ZNF195",3.7411,3.4868,4.7459,4.5605,5.0266,5.7789,6.7473,3.4078,5.8392,3.1515
"MYCBP2",8.3392,8.8317,17.3026,11.186,6.5924,6.7111,2.405,12.5609,7.0976,8.2399
"FBXL3",23.9959,19.4359,41.0947,29.5737,19.5155,42.7595,32.2457,23.1881,27.6036,23.5406
"ITGAL",7.3647,5.4801,4.4854,14.38,3.0374,2.9314,1.922,7.5283,2.4903,10.3038
"PDK2",27.1339,15.1214,37.7283,24.2881,22.5638,29.3309,18.8898,31.9933,16.8297,19.8228
"ITGA3",51.796,50.5374,46.9377,50.5368,73.9183,26.7553,26.2063,51.3466,64.9623,55.1469
"ZFX",8.2811,11.0935,27.251,9.1525,6.8699,16.8305,9.5874,14.8824,8.6893,12.3663
"LAMP2",49.8114,41.3832,64.837,43.3116,38.2834,59.2045,43.9302,48.5555,48.2475,39.8941
"GDE1",99.4271,123.5929,118.5875,82.0552,113.3549,137.508,127.5367,118.5773,80.9352,84.5886
"OSBPL7",16.1931,8.7099,9.8897,17.216,22.1226,6.1456,8.1299,11.3074,23.6076,14.9311
"TMEM98",103.1935,82.0604,67.181,65.5986,99.5755,113.1213,154.4085,72.7349,66.2536,73.3229
"MAP3K14",10.7765,11.5793,14.5152,14.2604,6.2348,11.9401,7.0524,18.7791,5.7877,9.7718
"TMEM132A",4.3842,3.6354,3.0287,2.2369,4.8451,2.2274,1.6586,4.7515,3.573,2.7037
"AP2B1",106.2696,177.7382,122.3863,91.6826,190.9217,81.78,60.1772,151.9113,137.4434,113.3555
"TAC1",5.5943,6.2653,26.2173,5.1921,1.4023,13.6749,7.0085,9.8005,2.3142,5.4875
"ZNF263",10.8364,11.917,13.6485,8.7646,10.7458,14.7464,7.8786,11.7298,8.3161,10.1173
"CX3CL1",12.6248,15.9032,13.4513,10.086,3.8186,18.8731,4.3267,23.7025,5.9429,14.2384
"SPATA20",44.5673,26.0275,43.8483,23.924,49.3196,35.6015,25.7981,53.6725,29.2189,8.9658
"TNFRSF12A",11.5125,126.2777,6.0401,5.3119,21.2749,26.1275,12.5513,92.5151,12.1872,16.91
"RALA",59.2848,73.2773,79.3322,65.6259,82.9632,79.6225,60.5853,63.8132,93.7622,66.7046
"BAIAP2L1",37.6714,93.2907,21.18,37.0941,64.9663,22.0296,20.5154,45.1118,56.8032,42.9566
"KDM7A",22.5819,21.8446,24.72,26.7563,18.1554,19.2027,10.5394,26.058,23.126,18.885
"ETV1",4.5354,2.9932,8.3285,2.6089,1.3483,6.8048,2.2614,5.5158,2.0768,3.4842
"AGK",6.0483,4.5669,8.0757,5.3027,5.2203,6.131,4.3132,6.2147,4.8593,4.4733
"ALDH3B1",17.0914,12.4776,12.1958,6.5711,15.9422,13.7236,11.4652,12.7569,15.6898,11.592
"CCL26",1.2319,3.4745,0.7802,0.8572,1.366,2.5363,2.7346,1.5811,1.6907,1.4685
"FARP2",11.1806,12.3965,14.1277,13.1358,17.7647,9.235,6.444,14.0286,17.01,12.2806
"USH1C",88.4242,82.1941,63.2847,88.754,148.9407,71.973,77.388,71.892,140.5094,91.6377
"GGCT",23.9697,34.4116,22.0791,22.4002,40.5748,26.6997,27.2812,32.2088,43.3475,29.0152
