,RF-SCNE
s1,-0.2033108940858525
s2,-0.06290396570595125
s3,-0.3105550736650342
s4,-0.1865039352212136
s5,-0.22148990463147664
s6,0.008964887350457782
s7,-0.18047572663050018
s8,-0.2611740566663389
s9,-0.3867718849769715
s10,-0.09851096208137232
s11,-0.10335821942369479
s12,-0.032178049569006016
s13,-0.4971591028381757
s14,-0.51719321928314
s15,-0.5146956642798318
s16,-0.4633641974635224
s17,-0.6418310015037709
s18,-0.13009789934381008
s19,-0.675906748465327
s20,3.3619456184497225
s21,8.41856389813384
s22,1.6270699005411127
s23,-0.31158774535743394
s24,-0.3066700193353382
s25,-0.4423225421566461
s26,-0.49824890770637825
s27,-0.4203589821043259
s28,-0.27730231372367176
s29,-0.44033002505800534
s30,-0.4569948793483226
s31,-0.285013642903635
