,node1-node2,node1-node3,node1-node4,node1-node5,node2-node3,node2-node5,node3-node4,node4-node5
s1,0.16845131975818073,0.9860839808692797,0.9686077490284576,0.7631315382559308,0.016954257814198407,0.0,0.9822672814425552,0.6515668410891853
s2,0.17411934298302362,0.9850793905891068,0.9669681776124528,0.7565906801208045,0.016956180635493347,0.0,0.9816032048825536,0.6419084023704165
s3,0.17804380164078962,0.9842494862140955,0.9661904536588852,0.755214109171839,0.01626932716249781,0.0,0.9816457146491221,0.6408485627326016
s4,0.17894030597114546,0.984013802469047,0.9662489516147071,0.758138706121457,0.015807232595414968,0.0,0.9819273333970183,0.6457904914163176
s5,0.1878624529604287,0.982084753917115,0.9640501786127728,0.7543495255274675,0.015587213000341296,0.0,0.9816236154980733,0.6420642505194623
s6,0.19136598787952,0.9816781736342857,0.9635372588187002,0.7526967524866196,0.014912522640676286,0.0,0.9815117618467241,0.6395799043536514
s7,0.19433409030627213,0.9811149549588445,0.963260354857538,0.7546768765686157,0.014603929945070312,0.0,0.9817944388413149,0.6436499785086166
s8,0.2026185298376236,0.9794271393777053,0.9620546142063386,0.7586885708152439,0.014308280594830934,0.0,0.982250681329619,0.6524884849617464
s9,0.2088765488285875,0.9778736101279666,0.9604398809070674,0.7561938391888197,0.013450810723626333,0.0,0.9821638415969889,0.6502225705723671
s10,0.22105529318066017,0.9747232248657774,0.9566198207773765,0.7466119338413713,0.013278819728297869,0.0,0.9814091123733694,0.6387229261842627
s11,0.23202775679694773,0.9719333154358107,0.9542798241007997,0.7487280172545497,0.012711067488001451,0.0,0.9818139787592829,0.6456297429423357
s12,0.24146634487994312,0.9695823094222855,0.9519556494746312,0.7462239515777102,0.011917514079604553,0.0,0.9817919821262123,0.644269291566237
s13,0.25026543422960107,0.967232049375152,0.9495371216073596,0.7434712900164612,0.011358599801579512,0.0,0.9816879590185785,0.642774848157633
s14,0.2668966992246052,0.962094657214191,0.9446135784624673,0.7410090249819571,0.010741350952886548,0.0,0.9817862099846802,0.6453413573742941
s15,0.2811999503480432,0.958386661973206,0.9410605097327965,0.7383983088741043,0.009869435552121738,0.0,0.9818966873044647,0.6456319320474742
s16,0.30742151056899075,0.9494609605175194,0.9323724758785551,0.732900031746388,0.0091921322741421,0.0,0.981961996194095,0.648027055382123
s17,0.3369813507908197,0.9391118895730879,0.9223150994406141,0.7258102286367004,0.008149891803909305,0.0,0.982076903282641,0.6493137783664104
s18,0.3814548501353711,0.9211704716866335,0.9046870018591924,0.7123244205347835,0.007137327956373846,0.0,0.9820589586325921,0.649882840312983
s19,0.4494689085930528,0.888335266500589,0.87241885398151,0.6864248516012149,0.0058239566044924005,0.0,0.9820295429636818,0.648897548158947
s20,0.5643681551545445,0.8187690447080681,0.8035941925923833,0.6260338759781123,0.004113272536672411,0.0,0.9813901646140127,0.6360083033526736
s21,0.9474188650591233,0.3134796878044672,0.30782710012940545,0.24129810644153352,0.0009365858366326926,0.0,0.9818144294630003,0.6442294138146714
s22,0.5704511777997842,0.8137782094881598,0.7991277272647044,0.627316472404837,0.004089904658444096,0.0,0.9819270521131837,0.6461118590844175
s23,0.44393857281631355,0.8915039282329087,0.8753835023008993,0.6870668236129277,0.005840181888300556,0.0,0.9818619153720498,0.6456435481994973
s24,0.38037121427379234,0.9219625725865744,0.9052117830751236,0.7099303512116564,0.007093712963088948,0.0,0.9817920022505119,0.6447480123834651
s25,0.33416862993555496,0.9403493029185335,0.9230785785886176,0.722322570979422,0.008316389831413256,0.0,0.9815976236420565,0.6418637980487416
s26,0.30708919662149886,0.949905691738959,0.9325131052208706,0.7297852994816452,0.00905492988985811,0.0,0.9816596963694636,0.6421441259264429
s27,0.27985838745015235,0.9590203543857858,0.9414590886050472,0.7366523635612139,0.009962315826298161,0.0,0.9816651612229108,0.641757414832262
s28,0.26490258265590083,0.9631052603782644,0.9457643124606183,0.7428572774807617,0.010642941742364164,0.0,0.9819795649083558,0.6471862413146034
s29,0.24703952850878555,0.9682324212443971,0.9510083090174188,0.7490428879975046,0.011399931196089357,0.0,0.9821938424693155,0.6507507438868706
s30,0.23781939284332676,0.970637641101195,0.9529360187354294,0.746999657933692,0.01205579411724849,0.0,0.9817446909128915,0.644119819506379
s31,0.23066523629903637,0.9723439342000353,0.9546781794116406,0.7488749010968032,0.012587974138703611,0.0,0.9818092415334364,0.6451359024893635
