,SD(node1),SD(node2),SD(node3),SD(node4),SD(node5)
s1,9.274643356667566,1.4965586279230836,9.158687619841064,2.211391884903455,0.4308972053672569
s2,9.12967568785214,1.5185711948429075,9.007638436526832,2.176541741156445,0.42586432872543023
s3,9.124535949025761,1.5535352650732983,8.995876984252675,2.174142925437995,0.4261794463200198
s4,9.25579569962941,1.5898281627869468,9.122664868943353,2.203805658357691,0.43064213083962394
s5,9.264127258761036,1.6581416966780491,9.117398769722524,2.2029879747289836,0.4310316084938449
s6,9.224565712366251,1.6909562750311826,9.071666070596589,2.1925813149579816,0.4295113278046625
s7,9.30411507523921,1.7375773267110737,9.143959395171953,2.209562688024981,0.43224403288794067
s8,9.330053290807099,1.8177537454962764,9.1544089344466,2.2100276164235724,0.42995655052922677
s9,9.307329160627647,1.8678374527617083,9.119953875054719,2.2025673290032786,0.42933482571634735
s10,9.142396532569293,1.931885907441049,8.935138867901216,2.159733100768488,0.4239242515255171
s11,9.14183430223626,2.0233758781704974,8.912406642753815,2.152608407869573,0.4202280584233093
s12,9.25214476326317,2.146117817963821,8.9968157777036,2.173466836380399,0.4247808175324682
s13,9.311960832141187,2.2403252756690852,9.034236753339885,2.1831469518307527,0.42733203428521516
s14,9.316925854461704,2.3876629120343944,8.999113241414427,2.174052027298933,0.4251375712249498
s15,9.508042635085573,2.5829118943197638,9.143142903332892,2.20883793903926,0.4316663099827833
s16,9.565773506646526,2.8295834748175612,9.124629465515548,2.203675074434915,0.42989073090532565
s17,9.680203417091736,3.14981381677617,9.13689286414031,2.206560727498484,0.42996974084452144
s18,9.676878323721885,3.5772558618049137,8.966803529076682,2.1655855737850636,0.42217632602342015
s19,10.132166201552613,4.438266928256792,9.066517297016203,2.18960945736161,0.4268341970547531
s20,11.149098236551103,6.201660687426748,9.197853658569455,2.2234275450525494,0.43648238299896147
s21,28.996823549503368,27.495230399066372,9.020103307568434,2.1790438120515545,0.4259879635997733
s22,11.087615892650694,6.234317887909816,9.093943456329773,2.1967067212895217,0.42910274035797186
s23,10.225539845963615,4.431181093755906,9.177532695135556,2.217065299920658,0.4331409626611181
s24,9.682661538223702,3.5806189978062775,8.974855310593213,2.168301329113882,0.4237111786301078
s25,9.657116094620465,3.118564895997664,9.124938376671663,2.2049321577639516,0.43135007973397405
s26,9.498480712663003,2.8190213975551672,9.059449969754379,2.1892207342827343,0.4287345172103772
s27,9.435503622493552,2.5577084203920397,9.075930863645983,2.1930052264244964,0.42897813195499607
s28,9.512887971849946,2.42870724116396,9.19175809211171,2.220431667049251,0.43378517839120806
s29,9.434438337718516,2.2426604891212953,9.161697156716926,2.212337846676932,0.4307813188116201
s30,9.398860524975056,2.150859645915987,9.147544626405937,2.210204606276762,0.4321093019010224
s31,9.250558183121115,2.0445981268592566,9.020018856383517,2.1788397979087812,0.42533957119713683
