,SD(y1),SD(y2),SD(y3),SD(y4),SD(y5)
s1,1.418334781332342,0.4721898511760786,0.34169399276630813,0.2121835715153403,0.1394975693802745
s2,1.4417821459943234,0.4712002658628503,0.3360338245925733,0.2136840642805404,0.13615845485982142
s3,1.479320377765433,0.46810452937536656,0.33560153248093383,0.21460996028115925,0.13738684438907975
s4,1.5170421407164938,0.4696992508051965,0.34034646823346465,0.21465181894406435,0.13882432139728534
s5,1.5866532070053168,0.47556458316173755,0.3401305374822177,0.21603527557069788,0.13863492068856478
s6,1.6228241243876858,0.46904199383265377,0.3384333354527742,0.21662026249778113,0.1367313982807923
s7,1.6704911967642362,0.4720665350526791,0.3411348245129588,0.21750472012077032,0.13746258226275285
s8,1.7521589655584158,0.47842057394722254,0.34152106356107065,0.21149704740864286,0.136678560141978
s9,1.8062314338778354,0.469361334328731,0.340249056592654,0.21332244765376848,0.13637093629119945
s10,1.872870024450428,0.4680213996527761,0.33332364692750277,0.21295647215755134,0.13760785734939768
s11,1.9670742127342478,0.4673571382374714,0.3324815099742252,0.20900722265594,0.1353210602800206
s12,2.0925424082683297,0.4695584597971016,0.3356361228890432,0.21228032480872058,0.13618179460654048
s13,2.189295209528204,0.469154620012533,0.337032391010359,0.21499701645105976,0.13630770430830966
s14,2.339818336529588,0.4698085249848155,0.33571873675291963,0.2113591484622539,0.13789762399542102
s15,2.5381747902438474,0.4724867771452468,0.34110483375982104,0.21544666989459835,0.1389197374323225
s16,2.7882209004347813,0.4760575726028187,0.34040502755769736,0.21334996754609517,0.137426808582266
s17,3.1130350072051063,0.47366677577734756,0.34087118662252947,0.21393926482359124,0.13663630630355011
s18,3.545820964152416,0.4674682967414151,0.33451834865997376,0.21018265908793843,0.13389625079019452
s19,4.412169270947782,0.47365263638445987,0.33823903541684885,0.2125150261293909,0.1355478465389575
s20,6.182941510683669,0.475329621146471,0.34314174340348264,0.2201916034886509,0.14133897262484452
s21,27.491090458104686,0.47103208506973204,0.3365039128067651,0.21270342110591395,0.13754776802047955
s22,6.215887670591283,0.47184667508281497,0.33926745356798516,0.21317306634506164,0.13861852180874024
s23,4.404791757234822,0.476712635180567,0.3423835190425502,0.2161766440493642,0.13854702756208168
s24,3.5493119669338173,0.4665827455375357,0.33481898023161233,0.21203318784000985,0.13470304837975566
s25,3.0811868257797865,0.475639082145078,0.34041233725449777,0.21688526144012368,0.13663702765057084
s26,2.77843335848827,0.4708581894392172,0.33797381293237616,0.21470221945181048,0.13832671136872593
s27,2.51262468267938,0.47203201653604526,0.33859104714742966,0.21497533737695318,0.1362911091714624
s28,2.3802052517685843,0.47697809748326586,0.3429147649599551,0.2166413748385132,0.13923389039329834
s29,2.190819325014151,0.47394302884983514,0.3418001144198106,0.21436838523097165,0.1358478523509091
s30,2.095957521340693,0.4768104989953842,0.341258207695716,0.21695855112460338,0.1372210459320239
s31,1.9880174408619458,0.4708867152560349,0.3365000500872971,0.21258327332710206,0.13555201053366212
