,RF-SCNE
s1,-0.2935675818570345
s2,-0.3178022932908879
s3,-0.33419824679407545
s4,-0.24693109054633167
s5,-0.29399531038963056
s6,-0.18720416556700606
s7,0.05227762895313445
s8,-0.3701267628175859
s9,-0.08300211399800261
s10,-0.011346817679261626
s11,-0.3948961262253574
s12,-0.45414966156541325
s13,-0.42117947943017053
s14,-0.4805597547628048
s15,-0.5487368141022415
s16,-0.4909761765134669
s17,-0.8666208812887383
s18,-0.8411679189601766
s19,-0.4242342064723389
s20,1.104957868951589
s21,17.256003087881798
s22,1.2182050744311066
s23,0.5870247772132582
s24,-0.5956422634306128
s25,-0.4026952531659939
s26,-0.4922786732905822
s27,-0.40359804135877775
s28,-0.45106160089900266
s29,-0.4623070117813557
s30,-0.2536055405346854
s31,-0.31187963353740517
