,max_Entropy
samplesize5,18.02043675
samplesize6,14.10495465
samplesize7,27.13391091
samplesize8,11.97012471
samplesize9,13.67537635
samplesize10,22.25670317
samplesize11,4.439385184
samplesize12,14.26833853
samplesize13,10.95140133
samplesize14,15.19542435
samplesize15,13.59940635
samplesize16,13.35442334
samplesize17,8.943801708
samplesize18,4.623937842
samplesize19,15.29644915
samplesize20,20.4814076
samplesize21,7.205625073
samplesize22,4.622581756
samplesize23,14.69206702
samplesize24,12.12913048
samplesize25,7.23058565
samplesize26,12.55356114
samplesize27,12.57804959
samplesize28,2.973086117
samplesize29,11.24787562
samplesize30,6.142977897
samplesize31,15.32835934
samplesize32,4.243202325
samplesize33,15.72050519
samplesize34,9.39698663
samplesize35,19.53517159
samplesize36,4.363292042
samplesize37,28.51323879
samplesize38,14.15275302
samplesize39,4.428906474
samplesize40,8.78816809
samplesize41,21.59575268
samplesize42,14.02750101
samplesize43,17.55748995
samplesize44,10.719747
samplesize45,7.917668312
samplesize46,22.30210512
samplesize47,22.792791
samplesize48,17.9023868
samplesize49,11.01693332
samplesize50,11.34336788
