,SD(node1),SD(node2),SD(node3),SD(node4),SD(node5)
s1,9.11329985763469,1.178659351884341,9.044869999681758,2.1847967230905403,0.4268899600759476
s2,9.027190686403804,1.1765483740816411,8.958504034733274,2.1645666176180978,0.42394478908330924
s3,9.204187244416502,1.1841357536450194,9.135947247281559,2.2064318981778563,0.43034971279847944
s4,9.215398459585002,1.1880733392363454,9.147285849954896,2.21029142855432,0.4324302839621028
s5,9.069680739087918,1.1730909460267946,9.001846599894858,2.174408531523766,0.4245840834818476
s6,9.226448292275954,1.1846733319200202,9.159020358859197,2.211940004264193,0.4309080261904689
s7,9.104033723045795,1.1802299333051807,9.03535031090419,2.182406133862549,0.4261732747038883
s8,9.190729495253317,1.1748797414217902,9.124091130855994,2.205425981732872,0.43279341797365806
s9,9.16997562488429,1.1885171079132157,9.101358435488827,2.1989784719565386,0.4297169982344637
s10,9.064158053816513,1.185240669832594,8.994301713600931,2.1721713209377627,0.4234626197947952
s11,9.221431321492712,1.1902750741381292,9.153160342122439,2.210212322228161,0.4302289717280468
s12,9.131190767792816,1.1840187053580915,9.062428934822538,2.1891355584678682,0.4273905457188134
s13,9.008058473778334,1.1901666348994249,8.937205700189423,2.160640944666308,0.42481677258217376
s14,9.0581745646467,1.1849764346408478,8.988663507575101,2.171431124956288,0.42429618946655984
s15,9.099249629759788,1.190585682581706,9.02953991518558,2.1821661876175673,0.4279627662672954
s16,9.166160531781502,1.1988227594648428,9.095756385269258,2.1972270073162474,0.42931989962109796
s17,9.11476781436701,1.1875541851677172,9.045257497516443,2.18380791836879,0.424426120299796
s18,9.293617332899295,1.2014752207837789,9.22423810800734,2.227856589148739,0.43445261958743725
s19,9.139764706577841,1.1930517183793496,9.069758371379073,2.190567595669294,0.42756477691746414
s20,9.13136726015499,1.194779419927011,9.061213259802425,2.188237414938886,0.4264758682128788
s21,9.115028671803616,1.1953705435579085,9.044403578479812,2.184167697600841,0.4261436635772165
s22,9.263434097220282,1.2020915269258805,9.19387642695932,2.2205553080024583,0.4331746546757089
s23,9.133137622815902,1.1873472719735558,9.063986626332403,2.188917842627309,0.4260275945942841
s24,9.225295760809946,1.2040577254563198,9.154645126972078,2.2120578152266486,0.43273088418546346
s25,9.248090535072647,1.2146430245338282,9.17587489454502,2.216265137348705,0.43253199236876794
s26,9.17892556460198,1.1952168386274047,9.10927590485789,2.201310874215772,0.43080620385263363
s27,9.140241041531096,1.192235788823064,9.070543475054196,2.1913177755608277,0.4281985247086494
s28,9.10004742353335,1.1955483254810317,9.029387165760488,2.181902721841132,0.42674436658380854
s29,9.162492823769472,1.2018369758144358,9.091381927707626,2.19659503260664,0.42977287787003
s30,9.111043644089106,1.1984829545097233,9.040084532109734,2.1837531931899634,0.42631363372305325
s31,9.073213124631453,1.2116593282364416,8.999722392875285,2.174237273942082,0.4251851794115376
s32,9.109149470308811,1.1964988107147807,9.038154795037146,2.1835987212088988,0.42695434772627766
s33,9.206767478597815,1.213358913532098,9.13449899155036,2.206420279492722,0.4308048332500773
s34,9.117841131912677,1.2105574705186555,9.044811701107449,2.183919050713648,0.4247853477380673
s35,9.060886711873822,1.1965409595517074,8.989971690305241,2.1712823472457345,0.42320683330496595
s36,9.288161903099606,1.201849332092447,9.218433794981863,2.2263515790416792,0.4338233676589636
s37,9.18652550437741,1.2109769706102627,9.114232130426227,2.201941799450219,0.43068356769293503
s38,9.289203756827808,1.2080381657601613,9.218331085546604,2.226967344972551,0.43486904827740064
s39,9.008866064260683,1.2047690422137676,8.936103921328034,2.1601350035076115,0.42443991589363056
s40,9.189755853788764,1.2016303744403458,9.119297500790795,2.203133821097054,0.43036201255923867
s41,9.16332375235909,1.2157515533809746,9.090792501192517,2.197202177346796,0.43073195051647756
s42,9.06800186441904,1.2033451014662278,8.995874397926201,2.1735377690547963,0.4250746463846813
s43,9.128709439947423,1.2101386919951085,9.055749980488326,2.1881906172214394,0.4282769810559766
s44,9.15246381952348,1.2045514810473417,9.08067710392961,2.1950007958485847,0.4310389767500748
s45,9.335848537167733,1.2357635398011286,9.2615908180088,2.236283298835149,0.43506171923295417
s46,9.119984807771505,1.2143171076780381,9.046715181719552,2.185662145804426,0.4274458967640494
s47,9.02036797039403,1.2135443237033487,8.946433563104813,2.162010032595938,0.4234947522102086
s48,9.174470778378682,1.2053245861124628,9.10308446221355,2.198842910260379,0.42878752096984474
