,node1,node2,node3,node4,node5
s1,4.193501399454169,1.9428591663525643,2.96155891658461,1.8043096778487409,1.306353933868897
s2,3.9990381421065653,3.25730703066628,1.4156284619693604,1.6016945608460087,1.1352989200823513
s3,4.078641289956624,3.894350506345038,0.8312359943214757,1.464595399820606,1.1159720248483131
s4,3.2927252051935207,2.389476740567924,1.4676561837219464,1.6163238363204124,1.155432928726189
s5,5.932091314312611,2.7369861505449227,3.838193702357824,2.1413090767188767,1.256742831142255
s6,5.614231438563037,2.4346034579501477,3.8789093560371524,2.0903619048264064,1.2901349157499258
s7,3.255438223857598,2.2580948850057085,1.6942114241952515,1.6058365892391753,1.1828894302773052
s8,7.381308162703519,3.831183942978896,4.01774953189698,2.0512761606290377,1.3933317395572484
s9,4.379363784461336,2.8495672329151365,2.0584958377069573,1.6827236445180391,1.2429858219078076
s10,10.171211687744572,5.749425162450506,5.061849249647078,2.432158842279134,1.2996969601918211
